College,Course,Category,Allotted_Rank_2020,Allotted_Rank_2021,Allotted_Rank_2022,Allotted_Rank_2023,Allotted_Rank_2024
AIIMS Mangalagiri,MBBS,ST,47248,45782,47155,41495,41495
AIIMS Mangalagiri,MBBS,ST PWD,,,,385913,385913
AIIMS Rajkot,MBBS,EWS,4235,4385,4061,2574,2574
AIIMS Rajkot,MBBS,EWS PWD,,355377,,,
AIIMS Rajkot,MBBS,GN,3085,3135,2790,1854,1854
AIIMS Rajkot,MBBS,GN PWD,175670,123895,339495,76369,76369
AIIMS Rajkot,MBBS,OBC,4252,4164,3678,3057,3057
AIIMS Rajkot,MBBS,OBC PWD,272627,273893,,234232,234232
AIIMS Rajkot,MBBS,SC,22782,31948,28813,22958,22958
AIIMS Rajkot,MBBS,SC PWD,,,691721,,
AIIMS Rajkot,MBBS,ST,44412,49747,47365,35334,35334
AIIMS Telangana  Bibi Nagar  Village Rangapur Mandal Name Bibinagar,MBBS,EWS,6048,,,,
AIIMS Telangana  Bibi Nagar  Village Rangapur Mandal Name Bibinagar,MBBS,GN,3086,,,,
AIIMS Telangana  Bibi Nagar  Village Rangapur Mandal Name Bibinagar,MBBS,GN PWD,195711,,,,
AIIMS Telangana  Bibi Nagar  Village Rangapur Mandal Name Bibinagar,MBBS,OBC,5083,,,,
AIIMS Telangana  Bibi Nagar  Village Rangapur Mandal Name Bibinagar,MBBS,OBC PWD,300061,,,,
AIIMS Telangana  Bibi Nagar  Village Rangapur Mandal Name Bibinagar,MBBS,SC,35699,,,,
AIIMS Telangana  Bibi Nagar  Village Rangapur Mandal Name Bibinagar,MBBS,SC PWD,603011,,,,
AIIMS Telangana  Bibi Nagar  Village Rangapur Mandal Name Bibinagar,MBBS,ST,37311,,,,
AIIMS-Bhopal,MBBS,EW PWD,91107,,,,
AIIMS-Bhopal,MBBS,EWS,1724,1286,1304,1013,1013
AIIMS-Bhopal,MBBS,EWS PWD,,203730,,88582,88582
AIIMS-Bhopal,MBBS,GN,591,572,576,510,510
AIIMS-Bhopal,MBBS,GN PWD,89697,41972,45424,72310,72310
AIIMS-Bhopal,MBBS,OBC,1273,1235,1316,992,992
AIIMS-Bhopal,MBBS,OBC PWD,126254,68836,265375,118490,118490
AIIMS-Bhopal,MBBS,SC,9624,6706,8604,5850,5850
AIIMS-Bhopal,MBBS,SC PWD,,232998,153248,278509,278509
AIIMS-Bhopal,MBBS,ST,16114,19741,19468,15645,15645
AIIMS-Bhopal,MBBS,ST PWD,,191936,,421491,421491
ANUGRAH NARAYAN MAGADH MEDICAL COLLEGE,MBBS,EWS,,8675,11431,13216,13216
ANUGRAH NARAYAN MAGADH MEDICAL COLLEGE,MBBS,EWS PWD,,98150,,,
ANUGRAH NARAYAN MAGADH MEDICAL COLLEGE,MBBS,GN,9345,8036,8555,10286,10286
ANUGRAH NARAYAN MAGADH MEDICAL COLLEGE,MBBS,GN PWD,178121,,536409,,
ANUGRAH NARAYAN MAGADH MEDICAL COLLEGE,MBBS,OBC,,9425,10019,11196,11196
ANUGRAH NARAYAN MAGADH MEDICAL COLLEGE,MBBS,OBC PWD,,,,595151,595151
ANUGRAH NARAYAN MAGADH MEDICAL COLLEGE,MBBS,SC,54802,53241,58356,70390,70390
ANUGRAH NARAYAN MAGADH MEDICAL COLLEGE,MBBS,SC PWD,,428628,,,
ANUGRAH NARAYAN MAGADH MEDICAL COLLEGE,MBBS,ST,80853,,103420,93471,93471
ASSAM MEDICAL COLLEGE,MBBS,EWS,,11599,12922,16550,16550
ASSAM MEDICAL COLLEGE,MBBS,EWS PWD,,462434,695193,,
ASSAM MEDICAL COLLEGE,MBBS,GN,10630,10322,10566,11898,11898
ASSAM MEDICAL COLLEGE,MBBS,GN PWD,353342,133275,,696159,696159
ASSAM MEDICAL COLLEGE,MBBS,OBC,,12700,13243,14995,14995
ASSAM MEDICAL COLLEGE,MBBS,SC,57415,59374,66969,79924,79924
ASSAM MEDICAL COLLEGE,MBBS,SC PWD,,748637,,,
ASSAM MEDICAL COLLEGE,MBBS,ST,68875,90090,101454,92051,92051
ATAL BIHARI VAJPAYEE GOVERNMENT MEDICAL COLLEGE,MBBS,EWS,,9311,11792,11489,11489
ATAL BIHARI VAJPAYEE GOVERNMENT MEDICAL COLLEGE,MBBS,GN,9343,8805,8937,6894,6894
