College,Course,Category,Allotted_Rank_2023,Allotted_Rank_2024
"Assam University, Silchar","AGRICULTURAL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",EWS,10211,11605
"Assam University, Silchar","AGRICULTURAL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OBC-NCL,19132,87945
"Assam University, Silchar","AGRICULTURAL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN,100501,123895
"Assam University, Silchar","AGRICULTURAL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN (PWD),1138,3118
"Assam University, Silchar","AGRICULTURAL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",SC,14169,17430
"Assam University, Silchar","AGRICULTURAL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",ST,4287,5951
"Assam University, Silchar","COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",EWS,12124,7173
"Assam University, Silchar","COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OBC-NCL,13377,46784
"Assam University, Silchar","COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN,34513,42252
"Assam University, Silchar","COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN (PWD),1573,1933
"Assam University, Silchar","COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",SC,10675,8650
"Assam University, Silchar","COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",ST,2581,4500
"Assam University, Silchar","ELECTRONICS AND COMMUNICATION ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",EWS,13527,17467
"Assam University, Silchar","ELECTRONICS AND COMMUNICATION ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OBC-NCL,14916,50534
"Assam University, Silchar","ELECTRONICS AND COMMUNICATION ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN,46342,95469
"Assam University, Silchar","ELECTRONICS AND COMMUNICATION ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN (PWD),2115,2549
"Assam University, Silchar","ELECTRONICS AND COMMUNICATION ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",SC,11626,14909
"Assam University, Silchar","ELECTRONICS AND COMMUNICATION ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",ST,3641,5484
Atal Bihari Vajpayee Indian Institute Of Information Technology & Management Gwalior,"COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",EWS,1027,1056
Atal Bihari Vajpayee Indian Institute Of Information Technology & Management Gwalior,"COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OBC-NCL,2729,3168
Atal Bihari Vajpayee Indian Institute Of Information Technology & Management Gwalior,"COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN,10320,11529
Atal Bihari Vajpayee Indian Institute Of Information Technology & Management Gwalior,"COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN (PWD),232,212
Atal Bihari Vajpayee Indian Institute Of Information Technology & Management Gwalior,"COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",SC,1637,1996
Atal Bihari Vajpayee Indian Institute Of Information Technology & Management Gwalior,"COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",SC (PWD),100,67
Atal Bihari Vajpayee Indian Institute Of Information Technology & Management Gwalior,"COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",ST,1163,1493
Atal Bihari Vajpayee Indian Institute Of Information Technology & Management Gwalior,"COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",ST (PWD),64,75
Atal Bihari Vajpayee Indian Institute Of Information Technology & Management Gwalior,"ELECTRICAL AND ELECTRONICS ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",EWS,2412,2789
Atal Bihari Vajpayee Indian Institute Of Information Technology & Management Gwalior,"ELECTRICAL AND ELECTRONICS ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OBC-NCL,11778,10596
Atal Bihari Vajpayee Indian Institute Of Information Technology & Management Gwalior,"ELECTRICAL AND ELECTRONICS ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OBC-NCL (PWD),667,530
Atal Bihari Vajpayee Indian Institute Of Information Technology & Management Gwalior,"ELECTRICAL AND ELECTRONICS ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN,15923,15709
Atal Bihari Vajpayee Indian Institute Of Information Technology & Management Gwalior,"ELECTRICAL AND ELECTRONICS ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN (PWD),1154,861
Atal Bihari Vajpayee Indian Institute Of Information Technology & Management Gwalior,"ELECTRICAL AND ELECTRONICS ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",SC,3440,3846
Atal Bihari Vajpayee Indian Institute Of Information Technology & Management Gwalior,"ELECTRICAL AND ELECTRONICS ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",ST,1804,1671
Atal Bihari Vajpayee Indian Institute Of Information Technology & Management Gwalior,"INTEGRATED B. TECH.(IT) AND M. TECH (IT) (5 YEARS, INTEGRATED B. TECH. AND M. TECH.)",EWS,1831,2251
Atal Bihari Vajpayee Indian Institute Of Information Technology & Management Gwalior,"INTEGRATED B. TECH.(IT) AND M. TECH (IT) (5 YEARS, INTEGRATED B. TECH. AND M. TECH.)",OBC-NCL,4416,5737
Atal Bihari Vajpayee Indian Institute Of Information Technology & Management Gwalior,"INTEGRATED B. TECH.(IT) AND M. TECH (IT) (5 YEARS, INTEGRATED B. TECH. AND M. TECH.)",OBC-NCL (PWD),271,557
Atal Bihari Vajpayee Indian Institute Of Information Technology & Management Gwalior,"INTEGRATED B. TECH.(IT) AND M. TECH (IT) (5 YEARS, INTEGRATED B. TECH. AND M. TECH.)",OPEN,11463,12816
Atal Bihari Vajpayee Indian Institute Of Information Technology & Management Gwalior,"INTEGRATED B. TECH.(IT) AND M. TECH (IT) (5 YEARS, INTEGRATED B. TECH. AND M. TECH.)",OPEN (PWD),1081,555
Atal Bihari Vajpayee Indian Institute Of Information Technology & Management Gwalior,"INTEGRATED B. TECH.(IT) AND M. TECH (IT) (5 YEARS, INTEGRATED B. TECH. AND M. TECH.)",SC,2435,3931
Atal Bihari Vajpayee Indian Institute Of Information Technology & Management Gwalior,"INTEGRATED B. TECH.(IT) AND M. TECH (IT) (5 YEARS, INTEGRATED B. TECH. AND M. TECH.)",ST,1363,1981
Atal Bihari Vajpayee Indian Institute Of Information Technology & Management Gwalior,"INTEGRATED B. TECH.(IT) AND MBA (5 YEARS, INTEGRATED B. TECH. AND MBA)",EWS,2178,2370
Atal Bihari Vajpayee Indian Institute Of Information Technology & Management Gwalior,"INTEGRATED B. TECH.(IT) AND MBA (5 YEARS, INTEGRATED B. TECH. AND MBA)",OBC-NCL,5638,6704
Atal Bihari Vajpayee Indian Institute Of Information Technology & Management Gwalior,"INTEGRATED B. TECH.(IT) AND MBA (5 YEARS, INTEGRATED B. TECH. AND MBA)",OBC-NCL (PWD),328,679
Atal Bihari Vajpayee Indian Institute Of Information Technology & Management Gwalior,"INTEGRATED B. TECH.(IT) AND MBA (5 YEARS, INTEGRATED B. TECH. AND MBA)",OPEN,13403,15392
Atal Bihari Vajpayee Indian Institute Of Information Technology & Management Gwalior,"INTEGRATED B. TECH.(IT) AND MBA (5 YEARS, INTEGRATED B. TECH. AND MBA)",SC,3029,4610
Atal Bihari Vajpayee Indian Institute Of Information Technology & Management Gwalior,"INTEGRATED B. TECH.(IT) AND MBA (5 YEARS, INTEGRATED B. TECH. AND MBA)",ST,1586,2368
Atal Bihari Vajpayee Indian Institute Of Information Technology & Management Gwalior,"MATHEMATICS AND SCIENTIFIC COMPUTING (4 YEARS, BACHELOR OF TECHNOLOGY)",EWS,1544,1660
Atal Bihari Vajpayee Indian Institute Of Information Technology & Management Gwalior,"MATHEMATICS AND SCIENTIFIC COMPUTING (4 YEARS, BACHELOR OF TECHNOLOGY)",OBC-NCL,4275,4675
Atal Bihari Vajpayee Indian Institute Of Information Technology & Management Gwalior,"MATHEMATICS AND SCIENTIFIC COMPUTING (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN,15856,16057
Atal Bihari Vajpayee Indian Institute Of Information Technology & Management Gwalior,"MATHEMATICS AND SCIENTIFIC COMPUTING (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN (PWD),408,719
Atal Bihari Vajpayee Indian Institute Of Information Technology & Management Gwalior,"MATHEMATICS AND SCIENTIFIC COMPUTING (4 YEARS, BACHELOR OF TECHNOLOGY)",SC,2429,2746
Atal Bihari Vajpayee Indian Institute Of Information Technology & Management Gwalior,"MATHEMATICS AND SCIENTIFIC COMPUTING (4 YEARS, BACHELOR OF TECHNOLOGY)",ST,1136,1402
"Birla Institute Of Technology, Deoghar Off-Campus","COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",EWS,13326,15536
"Birla Institute Of Technology, Deoghar Off-Campus","COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OBC-NCL,15155,17045
"Birla Institute Of Technology, Deoghar Off-Campus","COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN,41821,42785
"Birla Institute Of Technology, Deoghar Off-Campus","COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN (PWD),2080,1729
"Birla Institute Of Technology, Deoghar Off-Campus","COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",SC,12540,17397
"Birla Institute Of Technology, Deoghar Off-Campus","COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",ST,10717,12796
"Birla Institute Of Technology, Deoghar Off-Campus","ELECTRICAL AND ELECTRONICS ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",EWS,17230,9671
"Birla Institute Of Technology, Deoghar Off-Campus","ELECTRICAL AND ELECTRONICS ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OBC-NCL,18778,19095
"Birla Institute Of Technology, Deoghar Off-Campus","ELECTRICAL AND ELECTRONICS ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN,53965,49126
"Birla Institute Of Technology, Deoghar Off-Campus","ELECTRICAL AND ELECTRONICS ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",SC,18589,19018
"Birla Institute Of Technology, Deoghar Off-Campus","ELECTRICAL AND ELECTRONICS ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",ST,18365,4922
"Birla Institute Of Technology, Deoghar Off-Campus","ELECTRONICS AND COMMUNICATION ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",EWS,15300,8906
"Birla Institute Of Technology, Deoghar Off-Campus","ELECTRONICS AND COMMUNICATION ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OBC-NCL,17751,19630
"Birla Institute Of Technology, Deoghar Off-Campus","ELECTRONICS AND COMMUNICATION ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN,47798,86890
"Birla Institute Of Technology, Deoghar Off-Campus","ELECTRONICS AND COMMUNICATION ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",SC,16899,19161
"Birla Institute Of Technology, Deoghar Off-Campus","ELECTRONICS AND COMMUNICATION ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",ST,14616,15287
"Birla Institute Of Technology, Deoghar Off-Campus","MECHANICAL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",EWS,10419,17605
"Birla Institute Of Technology, Deoghar Off-Campus","MECHANICAL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OBC-NCL,20476,20600
"Birla Institute Of Technology, Deoghar Off-Campus","MECHANICAL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN,59067,90582
"Birla Institute Of Technology, Deoghar Off-Campus","MECHANICAL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",SC,10481,19332
"Birla Institute Of Technology, Deoghar Off-Campus","MECHANICAL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",ST,17526,4585
"Birla Institute Of Technology, Mesra,  Ranchi","ARCHITECTURE  (5 YEARS, BACHELOR OF ARCHITECTURE)",EWS,174,896
"Birla Institute Of Technology, Mesra,  Ranchi","ARCHITECTURE  (5 YEARS, BACHELOR OF ARCHITECTURE)",OBC-NCL,364,595
"Birla Institute Of Technology, Mesra,  Ranchi","ARCHITECTURE  (5 YEARS, BACHELOR OF ARCHITECTURE)",OPEN,2805,981
"Birla Institute Of Technology, Mesra,  Ranchi","ARCHITECTURE  (5 YEARS, BACHELOR OF ARCHITECTURE)",SC,1297,316
"Birla Institute Of Technology, Mesra,  Ranchi","ARCHITECTURE  (5 YEARS, BACHELOR OF ARCHITECTURE)",ST,348,131
"Birla Institute Of Technology, Mesra,  Ranchi","ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING (4 YEARS, BACHELOR OF TECHNOLOGY)",EWS,2806,7510
"Birla Institute Of Technology, Mesra,  Ranchi","ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING (4 YEARS, BACHELOR OF TECHNOLOGY)",OBC-NCL,7399,7930
"Birla Institute Of Technology, Mesra,  Ranchi","ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING (4 YEARS, BACHELOR OF TECHNOLOGY)",OBC-NCL (PWD),642,563
"Birla Institute Of Technology, Mesra,  Ranchi","ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN,15168,17535
"Birla Institute Of Technology, Mesra,  Ranchi","ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN (PWD),2920,447
"Birla Institute Of Technology, Mesra,  Ranchi","ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING (4 YEARS, BACHELOR OF TECHNOLOGY)",SC,4643,5237
"Birla Institute Of Technology, Mesra,  Ranchi","ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING (4 YEARS, BACHELOR OF TECHNOLOGY)",ST,2420,3167
"Birla Institute Of Technology, Mesra,  Ranchi","BIO TECHNOLOGY (4 YEARS, BACHELOR OF TECHNOLOGY)",EWS,11837,14841
"Birla Institute Of Technology, Mesra,  Ranchi","BIO TECHNOLOGY (4 YEARS, BACHELOR OF TECHNOLOGY)",OBC-NCL,14945,17498
"Birla Institute Of Technology, Mesra,  Ranchi","BIO TECHNOLOGY (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN,44860,47769
"Birla Institute Of Technology, Mesra,  Ranchi","BIO TECHNOLOGY (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN (PWD),1306,2676
"Birla Institute Of Technology, Mesra,  Ranchi","BIO TECHNOLOGY (4 YEARS, BACHELOR OF TECHNOLOGY)",SC,11839,18066
"Birla Institute Of Technology, Mesra,  Ranchi","BIO TECHNOLOGY (4 YEARS, BACHELOR OF TECHNOLOGY)",ST,3222,4045
"Birla Institute Of Technology, Mesra,  Ranchi","CHEMICAL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",EWS,11729,8147
"Birla Institute Of Technology, Mesra,  Ranchi","CHEMICAL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OBC-NCL,15908,17027
"Birla Institute Of Technology, Mesra,  Ranchi","CHEMICAL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OBC-NCL (PWD),1118,1472
"Birla Institute Of Technology, Mesra,  Ranchi","CHEMICAL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN,42602,43519
"Birla Institute Of Technology, Mesra,  Ranchi","CHEMICAL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN (PWD),2479,2471
"Birla Institute Of Technology, Mesra,  Ranchi","CHEMICAL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",SC,12160,20345
"Birla Institute Of Technology, Mesra,  Ranchi","CHEMICAL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",ST,11894,4515
"Birla Institute Of Technology, Mesra,  Ranchi","CIVIL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",EWS,10899,7872
"Birla Institute Of Technology, Mesra,  Ranchi","CIVIL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OBC-NCL,15224,16177
"Birla Institute Of Technology, Mesra,  Ranchi","CIVIL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OBC-NCL (PWD),1069,1262
"Birla Institute Of Technology, Mesra,  Ranchi","CIVIL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN,44129,45490
"Birla Institute Of Technology, Mesra,  Ranchi","CIVIL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN (PWD),1731,2754
"Birla Institute Of Technology, Mesra,  Ranchi","CIVIL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",SC,12089,9660
"Birla Institute Of Technology, Mesra,  Ranchi","CIVIL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",ST,3004,9267
"Birla Institute Of Technology, Mesra,  Ranchi","COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",EWS,2744,2940
"Birla Institute Of Technology, Mesra,  Ranchi","COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OBC-NCL,6272,7394
"Birla Institute Of Technology, Mesra,  Ranchi","COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OBC-NCL (PWD),374,501
"Birla Institute Of Technology, Mesra,  Ranchi","COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN,13887,28807
"Birla Institute Of Technology, Mesra,  Ranchi","COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN (PWD),1401,2513
"Birla Institute Of Technology, Mesra,  Ranchi","COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",SC,4356,5053
"Birla Institute Of Technology, Mesra,  Ranchi","COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",ST,2107,5911
"Birla Institute Of Technology, Mesra,  Ranchi","ELECTRICAL AND ELECTRONICS ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",EWS,4400,8993
"Birla Institute Of Technology, Mesra,  Ranchi","ELECTRICAL AND ELECTRONICS ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OBC-NCL,11125,12063
"Birla Institute Of Technology, Mesra,  Ranchi","ELECTRICAL AND ELECTRONICS ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN,25716,27672
"Birla Institute Of Technology, Mesra,  Ranchi","ELECTRICAL AND ELECTRONICS ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",SC,6793,13182
"Birla Institute Of Technology, Mesra,  Ranchi","ELECTRICAL AND ELECTRONICS ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",ST,3230,4174
"Birla Institute Of Technology, Mesra,  Ranchi","ELECTRONICS AND COMMUNICATION ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",EWS,4147,8875
"Birla Institute Of Technology, Mesra,  Ranchi","ELECTRONICS AND COMMUNICATION ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OBC-NCL,10267,11561
"Birla Institute Of Technology, Mesra,  Ranchi","ELECTRONICS AND COMMUNICATION ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OBC-NCL (PWD),709,1119
"Birla Institute Of Technology, Mesra,  Ranchi","ELECTRONICS AND COMMUNICATION ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN,22886,23920
"Birla Institute Of Technology, Mesra,  Ranchi","ELECTRONICS AND COMMUNICATION ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN (PWD),1554,1347
"Birla Institute Of Technology, Mesra,  Ranchi","ELECTRONICS AND COMMUNICATION ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",SC,6276,7722
"Birla Institute Of Technology, Mesra,  Ranchi","ELECTRONICS AND COMMUNICATION ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",ST,2916,9226
"Birla Institute Of Technology, Mesra,  Ranchi","FOOD ENGINEERING  AND TECHNOLOGY (4 YEARS, BACHELOR OF TECHNOLOGY)",EWS,15318,15651
"Birla Institute Of Technology, Mesra,  Ranchi","FOOD ENGINEERING  AND TECHNOLOGY (4 YEARS, BACHELOR OF TECHNOLOGY)",OBC-NCL,16635,18320
"Birla Institute Of Technology, Mesra,  Ranchi","FOOD ENGINEERING  AND TECHNOLOGY (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN,50395,51559
"Birla Institute Of Technology, Mesra,  Ranchi","FOOD ENGINEERING  AND TECHNOLOGY (4 YEARS, BACHELOR OF TECHNOLOGY)",SC,15175,18833
"Birla Institute Of Technology, Mesra,  Ranchi","FOOD ENGINEERING  AND TECHNOLOGY (4 YEARS, BACHELOR OF TECHNOLOGY)",ST,14326,10449
"Birla Institute Of Technology, Mesra,  Ranchi","MATHEMATICS AND COMPUTING (5 YEARS, INTEGRATED MASTER OF SCIENCE)",EWS,5321,10259
"Birla Institute Of Technology, Mesra,  Ranchi","MATHEMATICS AND COMPUTING (5 YEARS, INTEGRATED MASTER OF SCIENCE)",OBC-NCL,11463,12449
"Birla Institute Of Technology, Mesra,  Ranchi","MATHEMATICS AND COMPUTING (5 YEARS, INTEGRATED MASTER OF SCIENCE)",OPEN,26911,25764
"Birla Institute Of Technology, Mesra,  Ranchi","MATHEMATICS AND COMPUTING (5 YEARS, INTEGRATED MASTER OF SCIENCE)",OPEN (PWD),2035,1769
"Birla Institute Of Technology, Mesra,  Ranchi","MATHEMATICS AND COMPUTING (5 YEARS, INTEGRATED MASTER OF SCIENCE)",SC,7029,8705
"Birla Institute Of Technology, Mesra,  Ranchi","MATHEMATICS AND COMPUTING (5 YEARS, INTEGRATED MASTER OF SCIENCE)",ST,11287,13313
"Birla Institute Of Technology, Mesra,  Ranchi","MECHANICAL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",EWS,10224,11017
"Birla Institute Of Technology, Mesra,  Ranchi","MECHANICAL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OBC-NCL,14615,15181
"Birla Institute Of Technology, Mesra,  Ranchi","MECHANICAL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN,36666,37430
"Birla Institute Of Technology, Mesra,  Ranchi","MECHANICAL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",SC,11435,9380
"Birla Institute Of Technology, Mesra,  Ranchi","MECHANICAL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",ST,11182,4498
"Birla Institute Of Technology, Mesra,  Ranchi","PHYSICS (5 YEARS, INTEGRATED MASTER OF SCIENCE)",EWS,13299,18265
"Birla Institute Of Technology, Mesra,  Ranchi","PHYSICS (5 YEARS, INTEGRATED MASTER OF SCIENCE)",OBC-NCL,17018,17589
"Birla Institute Of Technology, Mesra,  Ranchi","PHYSICS (5 YEARS, INTEGRATED MASTER OF SCIENCE)",OPEN,47342,47152
"Birla Institute Of Technology, Mesra,  Ranchi","PHYSICS (5 YEARS, INTEGRATED MASTER OF SCIENCE)",SC,15786,20259
"Birla Institute Of Technology, Mesra,  Ranchi","PHYSICS (5 YEARS, INTEGRATED MASTER OF SCIENCE)",ST,16259,18934
"Birla Institute Of Technology, Mesra,  Ranchi","PRODUCTION AND INDUSTRIAL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",EWS,12185,8446
"Birla Institute Of Technology, Mesra,  Ranchi","PRODUCTION AND INDUSTRIAL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OBC-NCL,16311,18097
"Birla Institute Of Technology, Mesra,  Ranchi","PRODUCTION AND INDUSTRIAL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN,46044,78741
"Birla Institute Of Technology, Mesra,  Ranchi","PRODUCTION AND INDUSTRIAL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",SC,15005,18511
"Birla Institute Of Technology, Mesra,  Ranchi","PRODUCTION AND INDUSTRIAL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",ST,13532,5174
"Birla Institute Of Technology, Mesra,  Ranchi","QUANTITATIVE ECONOMICS & DATA SCIENCE (5 YEARS, INTEGRATED MASTER OF SCIENCE)",EWS,11196,14180
"Birla Institute Of Technology, Mesra,  Ranchi","QUANTITATIVE ECONOMICS & DATA SCIENCE (5 YEARS, INTEGRATED MASTER OF SCIENCE)",OBC-NCL,14005,13669
"Birla Institute Of Technology, Mesra,  Ranchi","QUANTITATIVE ECONOMICS & DATA SCIENCE (5 YEARS, INTEGRATED MASTER OF SCIENCE)",OPEN,32711,66313
"Birla Institute Of Technology, Mesra,  Ranchi","QUANTITATIVE ECONOMICS & DATA SCIENCE (5 YEARS, INTEGRATED MASTER OF SCIENCE)",SC,10846,9492
"Birla Institute Of Technology, Mesra,  Ranchi","QUANTITATIVE ECONOMICS & DATA SCIENCE (5 YEARS, INTEGRATED MASTER OF SCIENCE)",ST,12407,16593
"Birla Institute Of Technology, Patna Off-Campus","CIVIL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",EWS,10454,10680
"Birla Institute Of Technology, Patna Off-Campus","CIVIL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OBC-NCL,20299,21785
"Birla Institute Of Technology, Patna Off-Campus","CIVIL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN,59951,61922
"Birla Institute Of Technology, Patna Off-Campus","CIVIL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",SC,15320,16402
"Birla Institute Of Technology, Patna Off-Campus","CIVIL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",ST,3718,4204
"Birla Institute Of Technology, Patna Off-Campus","COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",EWS,6718,6885
"Birla Institute Of Technology, Patna Off-Campus","COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OBC-NCL,14726,15793
"Birla Institute Of Technology, Patna Off-Campus","COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OBC-NCL (PWD),996,1453
"Birla Institute Of Technology, Patna Off-Campus","COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN,37318,54607
"Birla Institute Of Technology, Patna Off-Campus","COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN (PWD),1656,1946
