College,Course,Category,Predicted_Rank_2025,Allotted_Rank_2023,Allotted_Rank_2024
"Assam University, Silchar","AGRICULTURAL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",EWS,12999,10211,11605
"Assam University, Silchar","AGRICULTURAL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OBC-NCL,156758,19132,87945
"Assam University, Silchar","AGRICULTURAL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN,147289,100501,123895
"Assam University, Silchar","AGRICULTURAL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN (PWD),5098,1138,3118
"Assam University, Silchar","AGRICULTURAL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",SC,20691,14169,17430
"Assam University, Silchar","AGRICULTURAL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",ST,7615,4287,5951
"Assam University, Silchar","COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",EWS,2222,12124,7173
"Assam University, Silchar","COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OBC-NCL,80191,13377,46784
"Assam University, Silchar","COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN,49991,34513,42252
"Assam University, Silchar","COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN (PWD),2293,1573,1933
"Assam University, Silchar","COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",SC,6625,10675,8650
"Assam University, Silchar","COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",ST,6419,2581,4500
"Assam University, Silchar","ELECTRONICS AND COMMUNICATION ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",EWS,21407,13527,17467
"Assam University, Silchar","ELECTRONICS AND COMMUNICATION ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OBC-NCL,86152,14916,50534
"Assam University, Silchar","ELECTRONICS AND COMMUNICATION ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN,144596,46342,95469
"Assam University, Silchar","ELECTRONICS AND COMMUNICATION ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN (PWD),2983,2115,2549
"Assam University, Silchar","ELECTRONICS AND COMMUNICATION ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",SC,18192,11626,14909
"Assam University, Silchar","ELECTRONICS AND COMMUNICATION ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",ST,7327,3641,5484
Atal Bihari Vajpayee Indian Institute Of Information Technology & Management Gwalior,"COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",EWS,1085,1027,1056
Atal Bihari Vajpayee Indian Institute Of Information Technology & Management Gwalior,"COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OBC-NCL,3607,2729,3168
Atal Bihari Vajpayee Indian Institute Of Information Technology & Management Gwalior,"COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN,12738,10320,11529
Atal Bihari Vajpayee Indian Institute Of Information Technology & Management Gwalior,"COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN (PWD),192,232,212
Atal Bihari Vajpayee Indian Institute Of Information Technology & Management Gwalior,"COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",SC,2355,1637,1996
Atal Bihari Vajpayee Indian Institute Of Information Technology & Management Gwalior,"COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",SC (PWD),34,100,67
Atal Bihari Vajpayee Indian Institute Of Information Technology & Management Gwalior,"COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",ST,1823,1163,1493
Atal Bihari Vajpayee Indian Institute Of Information Technology & Management Gwalior,"COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",ST (PWD),86,64,75
Atal Bihari Vajpayee Indian Institute Of Information Technology & Management Gwalior,"ELECTRICAL AND ELECTRONICS ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",EWS,3166,2412,2789
Atal Bihari Vajpayee Indian Institute Of Information Technology & Management Gwalior,"ELECTRICAL AND ELECTRONICS ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OBC-NCL,9414,11778,10596
Atal Bihari Vajpayee Indian Institute Of Information Technology & Management Gwalior,"ELECTRICAL AND ELECTRONICS ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OBC-NCL (PWD),393,667,530
Atal Bihari Vajpayee Indian Institute Of Information Technology & Management Gwalior,"ELECTRICAL AND ELECTRONICS ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN,15495,15923,15709
Atal Bihari Vajpayee Indian Institute Of Information Technology & Management Gwalior,"ELECTRICAL AND ELECTRONICS ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN (PWD),568,1154,861
Atal Bihari Vajpayee Indian Institute Of Information Technology & Management Gwalior,"ELECTRICAL AND ELECTRONICS ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",SC,4252,3440,3846
Atal Bihari Vajpayee Indian Institute Of Information Technology & Management Gwalior,"ELECTRICAL AND ELECTRONICS ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",ST,1538,1804,1671
Atal Bihari Vajpayee Indian Institute Of Information Technology & Management Gwalior,"INTEGRATED B. TECH.(IT) AND M. TECH (IT) (5 YEARS, INTEGRATED B. TECH. AND M. TECH.)",EWS,2671,1831,2251
Atal Bihari Vajpayee Indian Institute Of Information Technology & Management Gwalior,"INTEGRATED B. TECH.(IT) AND M. TECH (IT) (5 YEARS, INTEGRATED B. TECH. AND M. TECH.)",OBC-NCL,7058,4416,5737
Atal Bihari Vajpayee Indian Institute Of Information Technology & Management Gwalior,"INTEGRATED B. TECH.(IT) AND M. TECH (IT) (5 YEARS, INTEGRATED B. TECH. AND M. TECH.)",OBC-NCL (PWD),843,271,557
Atal Bihari Vajpayee Indian Institute Of Information Technology & Management Gwalior,"INTEGRATED B. TECH.(IT) AND M. TECH (IT) (5 YEARS, INTEGRATED B. TECH. AND M. TECH.)",OPEN,14169,11463,12816
Atal Bihari Vajpayee Indian Institute Of Information Technology & Management Gwalior,"INTEGRATED B. TECH.(IT) AND M. TECH (IT) (5 YEARS, INTEGRATED B. TECH. AND M. TECH.)",OPEN (PWD),29,1081,555
Atal Bihari Vajpayee Indian Institute Of Information Technology & Management Gwalior,"INTEGRATED B. TECH.(IT) AND M. TECH (IT) (5 YEARS, INTEGRATED B. TECH. AND M. TECH.)",SC,5427,2435,3931
Atal Bihari Vajpayee Indian Institute Of Information Technology & Management Gwalior,"INTEGRATED B. TECH.(IT) AND M. TECH (IT) (5 YEARS, INTEGRATED B. TECH. AND M. TECH.)",ST,2599,1363,1981
Atal Bihari Vajpayee Indian Institute Of Information Technology & Management Gwalior,"INTEGRATED B. TECH.(IT) AND MBA (5 YEARS, INTEGRATED B. TECH. AND MBA)",EWS,2562,2178,2370
Atal Bihari Vajpayee Indian Institute Of Information Technology & Management Gwalior,"INTEGRATED B. TECH.(IT) AND MBA (5 YEARS, INTEGRATED B. TECH. AND MBA)",OBC-NCL,7770,5638,6704
Atal Bihari Vajpayee Indian Institute Of Information Technology & Management Gwalior,"INTEGRATED B. TECH.(IT) AND MBA (5 YEARS, INTEGRATED B. TECH. AND MBA)",OBC-NCL (PWD),1030,328,679
Atal Bihari Vajpayee Indian Institute Of Information Technology & Management Gwalior,"INTEGRATED B. TECH.(IT) AND MBA (5 YEARS, INTEGRATED B. TECH. AND MBA)",OPEN,17381,13403,15392
Atal Bihari Vajpayee Indian Institute Of Information Technology & Management Gwalior,"INTEGRATED B. TECH.(IT) AND MBA (5 YEARS, INTEGRATED B. TECH. AND MBA)",SC,6191,3029,4610
Atal Bihari Vajpayee Indian Institute Of Information Technology & Management Gwalior,"INTEGRATED B. TECH.(IT) AND MBA (5 YEARS, INTEGRATED B. TECH. AND MBA)",ST,3150,1586,2368
Atal Bihari Vajpayee Indian Institute Of Information Technology & Management Gwalior,"MATHEMATICS AND SCIENTIFIC COMPUTING (4 YEARS, BACHELOR OF TECHNOLOGY)",EWS,1776,1544,1660
Atal Bihari Vajpayee Indian Institute Of Information Technology & Management Gwalior,"MATHEMATICS AND SCIENTIFIC COMPUTING (4 YEARS, BACHELOR OF TECHNOLOGY)",OBC-NCL,5075,4275,4675
Atal Bihari Vajpayee Indian Institute Of Information Technology & Management Gwalior,"MATHEMATICS AND SCIENTIFIC COMPUTING (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN,16258,15856,16057
Atal Bihari Vajpayee Indian Institute Of Information Technology & Management Gwalior,"MATHEMATICS AND SCIENTIFIC COMPUTING (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN (PWD),1030,408,719
Atal Bihari Vajpayee Indian Institute Of Information Technology & Management Gwalior,"MATHEMATICS AND SCIENTIFIC COMPUTING (4 YEARS, BACHELOR OF TECHNOLOGY)",SC,3063,2429,2746
Atal Bihari Vajpayee Indian Institute Of Information Technology & Management Gwalior,"MATHEMATICS AND SCIENTIFIC COMPUTING (4 YEARS, BACHELOR OF TECHNOLOGY)",ST,1668,1136,1402
"Birla Institute Of Technology, Deoghar Off-Campus","COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",EWS,17746,13326,15536
"Birla Institute Of Technology, Deoghar Off-Campus","COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OBC-NCL,18935,15155,17045
"Birla Institute Of Technology, Deoghar Off-Campus","COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN,43749,41821,42785
"Birla Institute Of Technology, Deoghar Off-Campus","COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN (PWD),1378,2080,1729
"Birla Institute Of Technology, Deoghar Off-Campus","COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",SC,22254,12540,17397
"Birla Institute Of Technology, Deoghar Off-Campus","COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",ST,14875,10717,12796
"Birla Institute Of Technology, Deoghar Off-Campus","ELECTRICAL AND ELECTRONICS ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",EWS,2112,17230,9671
"Birla Institute Of Technology, Deoghar Off-Campus","ELECTRICAL AND ELECTRONICS ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OBC-NCL,19412,18778,19095
"Birla Institute Of Technology, Deoghar Off-Campus","ELECTRICAL AND ELECTRONICS ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN,44287,53965,49126
"Birla Institute Of Technology, Deoghar Off-Campus","ELECTRICAL AND ELECTRONICS ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",SC,19447,18589,19018
"Birla Institute Of Technology, Deoghar Off-Campus","ELECTRICAL AND ELECTRONICS ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",ST,-8521,18365,4922
"Birla Institute Of Technology, Deoghar Off-Campus","ELECTRONICS AND COMMUNICATION ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",EWS,2512,15300,8906
"Birla Institute Of Technology, Deoghar Off-Campus","ELECTRONICS AND COMMUNICATION ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OBC-NCL,21509,17751,19630
"Birla Institute Of Technology, Deoghar Off-Campus","ELECTRONICS AND COMMUNICATION ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN,125982,47798,86890
"Birla Institute Of Technology, Deoghar Off-Campus","ELECTRONICS AND COMMUNICATION ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",SC,21423,16899,19161
"Birla Institute Of Technology, Deoghar Off-Campus","ELECTRONICS AND COMMUNICATION ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",ST,15958,14616,15287
"Birla Institute Of Technology, Deoghar Off-Campus","MECHANICAL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",EWS,24791,10419,17605
"Birla Institute Of Technology, Deoghar Off-Campus","MECHANICAL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OBC-NCL,20724,20476,20600
"Birla Institute Of Technology, Deoghar Off-Campus","MECHANICAL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN,122097,59067,90582
"Birla Institute Of Technology, Deoghar Off-Campus","MECHANICAL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",SC,28183,10481,19332
"Birla Institute Of Technology, Deoghar Off-Campus","MECHANICAL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",ST,-8356,17526,4585
"Birla Institute Of Technology, Mesra,  Ranchi","ARCHITECTURE  (5 YEARS, BACHELOR OF ARCHITECTURE)",EWS,1618,174,896
"Birla Institute Of Technology, Mesra,  Ranchi","ARCHITECTURE  (5 YEARS, BACHELOR OF ARCHITECTURE)",OBC-NCL,826,364,595
"Birla Institute Of Technology, Mesra,  Ranchi","ARCHITECTURE  (5 YEARS, BACHELOR OF ARCHITECTURE)",OPEN,-843,2805,981
"Birla Institute Of Technology, Mesra,  Ranchi","ARCHITECTURE  (5 YEARS, BACHELOR OF ARCHITECTURE)",SC,-665,1297,316
"Birla Institute Of Technology, Mesra,  Ranchi","ARCHITECTURE  (5 YEARS, BACHELOR OF ARCHITECTURE)",ST,-86,348,131
"Birla Institute Of Technology, Mesra,  Ranchi","ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING (4 YEARS, BACHELOR OF TECHNOLOGY)",EWS,12214,2806,7510
"Birla Institute Of Technology, Mesra,  Ranchi","ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING (4 YEARS, BACHELOR OF TECHNOLOGY)",OBC-NCL,8461,7399,7930
"Birla Institute Of Technology, Mesra,  Ranchi","ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING (4 YEARS, BACHELOR OF TECHNOLOGY)",OBC-NCL (PWD),484,642,563
"Birla Institute Of Technology, Mesra,  Ranchi","ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN,19902,15168,17535
"Birla Institute Of Technology, Mesra,  Ranchi","ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN (PWD),-2026,2920,447
"Birla Institute Of Technology, Mesra,  Ranchi","ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING (4 YEARS, BACHELOR OF TECHNOLOGY)",SC,5831,4643,5237
"Birla Institute Of Technology, Mesra,  Ranchi","ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING (4 YEARS, BACHELOR OF TECHNOLOGY)",ST,3914,2420,3167
"Birla Institute Of Technology, Mesra,  Ranchi","BIO TECHNOLOGY (4 YEARS, BACHELOR OF TECHNOLOGY)",EWS,17845,11837,14841
"Birla Institute Of Technology, Mesra,  Ranchi","BIO TECHNOLOGY (4 YEARS, BACHELOR OF TECHNOLOGY)",OBC-NCL,20051,14945,17498
"Birla Institute Of Technology, Mesra,  Ranchi","BIO TECHNOLOGY (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN,50678,44860,47769
"Birla Institute Of Technology, Mesra,  Ranchi","BIO TECHNOLOGY (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN (PWD),4046,1306,2676
"Birla Institute Of Technology, Mesra,  Ranchi","BIO TECHNOLOGY (4 YEARS, BACHELOR OF TECHNOLOGY)",SC,24293,11839,18066
"Birla Institute Of Technology, Mesra,  Ranchi","BIO TECHNOLOGY (4 YEARS, BACHELOR OF TECHNOLOGY)",ST,4868,3222,4045
"Birla Institute Of Technology, Mesra,  Ranchi","CHEMICAL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",EWS,4565,11729,8147
"Birla Institute Of Technology, Mesra,  Ranchi","CHEMICAL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OBC-NCL,18146,15908,17027
"Birla Institute Of Technology, Mesra,  Ranchi","CHEMICAL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OBC-NCL (PWD),1826,1118,1472
"Birla Institute Of Technology, Mesra,  Ranchi","CHEMICAL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN,44436,42602,43519
"Birla Institute Of Technology, Mesra,  Ranchi","CHEMICAL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN (PWD),2463,2479,2471
"Birla Institute Of Technology, Mesra,  Ranchi","CHEMICAL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",SC,28530,12160,20345
"Birla Institute Of Technology, Mesra,  Ranchi","CHEMICAL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",ST,-2864,11894,4515
"Birla Institute Of Technology, Mesra,  Ranchi","CIVIL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",EWS,4845,10899,7872
"Birla Institute Of Technology, Mesra,  Ranchi","CIVIL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OBC-NCL,17130,15224,16177
"Birla Institute Of Technology, Mesra,  Ranchi","CIVIL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OBC-NCL (PWD),1455,1069,1262
"Birla Institute Of Technology, Mesra,  Ranchi","CIVIL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN,46851,44129,45490
"Birla Institute Of Technology, Mesra,  Ranchi","CIVIL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN (PWD),3777,1731,2754
"Birla Institute Of Technology, Mesra,  Ranchi","CIVIL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",SC,7231,12089,9660
"Birla Institute Of Technology, Mesra,  Ranchi","CIVIL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",ST,15530,3004,9267
"Birla Institute Of Technology, Mesra,  Ranchi","COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",EWS,3136,2744,2940
"Birla Institute Of Technology, Mesra,  Ranchi","COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OBC-NCL,8516,6272,7394
"Birla Institute Of Technology, Mesra,  Ranchi","COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OBC-NCL (PWD),628,374,501
"Birla Institute Of Technology, Mesra,  Ranchi","COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN,43727,13887,28807
"Birla Institute Of Technology, Mesra,  Ranchi","COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN (PWD),3625,1401,2513
"Birla Institute Of Technology, Mesra,  Ranchi","COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",SC,5750,4356,5053
"Birla Institute Of Technology, Mesra,  Ranchi","COMPUTER SCIENCE AND ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",ST,9715,2107,5911
"Birla Institute Of Technology, Mesra,  Ranchi","ELECTRICAL AND ELECTRONICS ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",EWS,13586,4400,8993
"Birla Institute Of Technology, Mesra,  Ranchi","ELECTRICAL AND ELECTRONICS ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OBC-NCL,13001,11125,12063
"Birla Institute Of Technology, Mesra,  Ranchi","ELECTRICAL AND ELECTRONICS ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN,29628,25716,27672
"Birla Institute Of Technology, Mesra,  Ranchi","ELECTRICAL AND ELECTRONICS ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",SC,19571,6793,13182
"Birla Institute Of Technology, Mesra,  Ranchi","ELECTRICAL AND ELECTRONICS ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",ST,5118,3230,4174
"Birla Institute Of Technology, Mesra,  Ranchi","ELECTRONICS AND COMMUNICATION ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",EWS,13603,4147,8875
"Birla Institute Of Technology, Mesra,  Ranchi","ELECTRONICS AND COMMUNICATION ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OBC-NCL,12855,10267,11561
"Birla Institute Of Technology, Mesra,  Ranchi","ELECTRONICS AND COMMUNICATION ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OBC-NCL (PWD),1529,709,1119
"Birla Institute Of Technology, Mesra,  Ranchi","ELECTRONICS AND COMMUNICATION ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN,24954,22886,23920
"Birla Institute Of Technology, Mesra,  Ranchi","ELECTRONICS AND COMMUNICATION ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN (PWD),1140,1554,1347
"Birla Institute Of Technology, Mesra,  Ranchi","ELECTRONICS AND COMMUNICATION ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",SC,9168,6276,7722
"Birla Institute Of Technology, Mesra,  Ranchi","ELECTRONICS AND COMMUNICATION ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",ST,15536,2916,9226
"Birla Institute Of Technology, Mesra,  Ranchi","FOOD ENGINEERING  AND TECHNOLOGY (4 YEARS, BACHELOR OF TECHNOLOGY)",EWS,15984,15318,15651
"Birla Institute Of Technology, Mesra,  Ranchi","FOOD ENGINEERING  AND TECHNOLOGY (4 YEARS, BACHELOR OF TECHNOLOGY)",OBC-NCL,20005,16635,18320
"Birla Institute Of Technology, Mesra,  Ranchi","FOOD ENGINEERING  AND TECHNOLOGY (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN,52723,50395,51559
"Birla Institute Of Technology, Mesra,  Ranchi","FOOD ENGINEERING  AND TECHNOLOGY (4 YEARS, BACHELOR OF TECHNOLOGY)",SC,22491,15175,18833
"Birla Institute Of Technology, Mesra,  Ranchi","FOOD ENGINEERING  AND TECHNOLOGY (4 YEARS, BACHELOR OF TECHNOLOGY)",ST,6572,14326,10449
"Birla Institute Of Technology, Mesra,  Ranchi","MATHEMATICS AND COMPUTING (5 YEARS, INTEGRATED MASTER OF SCIENCE)",EWS,15197,5321,10259
"Birla Institute Of Technology, Mesra,  Ranchi","MATHEMATICS AND COMPUTING (5 YEARS, INTEGRATED MASTER OF SCIENCE)",OBC-NCL,13435,11463,12449
"Birla Institute Of Technology, Mesra,  Ranchi","MATHEMATICS AND COMPUTING (5 YEARS, INTEGRATED MASTER OF SCIENCE)",OPEN,24617,26911,25764
"Birla Institute Of Technology, Mesra,  Ranchi","MATHEMATICS AND COMPUTING (5 YEARS, INTEGRATED MASTER OF SCIENCE)",OPEN (PWD),1503,2035,1769
"Birla Institute Of Technology, Mesra,  Ranchi","MATHEMATICS AND COMPUTING (5 YEARS, INTEGRATED MASTER OF SCIENCE)",SC,10381,7029,8705
"Birla Institute Of Technology, Mesra,  Ranchi","MATHEMATICS AND COMPUTING (5 YEARS, INTEGRATED MASTER OF SCIENCE)",ST,15339,11287,13313
"Birla Institute Of Technology, Mesra,  Ranchi","MECHANICAL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",EWS,11810,10224,11017
"Birla Institute Of Technology, Mesra,  Ranchi","MECHANICAL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OBC-NCL,15747,14615,15181
"Birla Institute Of Technology, Mesra,  Ranchi","MECHANICAL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN,38194,36666,37430
"Birla Institute Of Technology, Mesra,  Ranchi","MECHANICAL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",SC,7325,11435,9380
"Birla Institute Of Technology, Mesra,  Ranchi","MECHANICAL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",ST,-2186,11182,4498
"Birla Institute Of Technology, Mesra,  Ranchi","PHYSICS (5 YEARS, INTEGRATED MASTER OF SCIENCE)",EWS,23231,13299,18265
"Birla Institute Of Technology, Mesra,  Ranchi","PHYSICS (5 YEARS, INTEGRATED MASTER OF SCIENCE)",OBC-NCL,18160,17018,17589
"Birla Institute Of Technology, Mesra,  Ranchi","PHYSICS (5 YEARS, INTEGRATED MASTER OF SCIENCE)",OPEN,46962,47342,47152
"Birla Institute Of Technology, Mesra,  Ranchi","PHYSICS (5 YEARS, INTEGRATED MASTER OF SCIENCE)",SC,24732,15786,20259
"Birla Institute Of Technology, Mesra,  Ranchi","PHYSICS (5 YEARS, INTEGRATED MASTER OF SCIENCE)",ST,21609,16259,18934
"Birla Institute Of Technology, Mesra,  Ranchi","PRODUCTION AND INDUSTRIAL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",EWS,4707,12185,8446
"Birla Institute Of Technology, Mesra,  Ranchi","PRODUCTION AND INDUSTRIAL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OBC-NCL,19883,16311,18097
"Birla Institute Of Technology, Mesra,  Ranchi","PRODUCTION AND INDUSTRIAL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN,111438,46044,78741
"Birla Institute Of Technology, Mesra,  Ranchi","PRODUCTION AND INDUSTRIAL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",SC,22017,15005,18511
"Birla Institute Of Technology, Mesra,  Ranchi","PRODUCTION AND INDUSTRIAL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",ST,-3184,13532,5174
"Birla Institute Of Technology, Mesra,  Ranchi","QUANTITATIVE ECONOMICS & DATA SCIENCE (5 YEARS, INTEGRATED MASTER OF SCIENCE)",EWS,17164,11196,14180
"Birla Institute Of Technology, Mesra,  Ranchi","QUANTITATIVE ECONOMICS & DATA SCIENCE (5 YEARS, INTEGRATED MASTER OF SCIENCE)",OBC-NCL,13333,14005,13669
"Birla Institute Of Technology, Mesra,  Ranchi","QUANTITATIVE ECONOMICS & DATA SCIENCE (5 YEARS, INTEGRATED MASTER OF SCIENCE)",OPEN,99915,32711,66313
"Birla Institute Of Technology, Mesra,  Ranchi","QUANTITATIVE ECONOMICS & DATA SCIENCE (5 YEARS, INTEGRATED MASTER OF SCIENCE)",SC,8138,10846,9492
"Birla Institute Of Technology, Mesra,  Ranchi","QUANTITATIVE ECONOMICS & DATA SCIENCE (5 YEARS, INTEGRATED MASTER OF SCIENCE)",ST,20779,12407,16593
"Birla Institute Of Technology, Patna Off-Campus","CIVIL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",EWS,10906,10454,10680
"Birla Institute Of Technology, Patna Off-Campus","CIVIL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OBC-NCL,23271,20299,21785
"Birla Institute Of Technology, Patna Off-Campus","CIVIL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",OPEN,63893,59951,61922
"Birla Institute Of Technology, Patna Off-Campus","CIVIL ENGINEERING (4 YEARS, BACHELOR OF TECHNOLOGY)",SC,17484,15320,16402
