College,Course,Category,Allotted_Rank_2020,Allotted_Rank_2021,Allotted_Rank_2022,Allotted_Rank_2023,Allotted_Rank_2024
AIIMS Jammu,MBBS,GN,6078.0,4999.0,4497.0,3787.0,3787.0
AIIMS Jammu,MBBS,GN PWD,114858.0,200224.0,153731.0,295188.0,295188.0
AIIMS Jammu,MBBS,OBC,6827.0,6066.0,5595.0,4567.0,4567.0
AIIMS Jammu,MBBS,OBC PWD,301699.0,,519284.0,397717.0,397717.0
AIIMS Jammu,MBBS,SC,42796.0,41780.0,41557.0,30320.0,30320.0
AIIMS Jammu,MBBS,SC PWD,,,749943.0,600934.0,600934.0
AIIMS Jammu,MBBS,ST,61000.0,63705.0,71858.0,40302.0,40302.0
AIIMS Jammu,MBBS,ST PWD,,,,540974.0,540974.0
AIIMS Mangalagiri,MBBS,EWS,5609.0,4440.0,3498.0,3329.0,3329.0
AIIMS Mangalagiri,MBBS,EWS PWD,,,532943.0,,
AIIMS Mangalagiri,MBBS,GN,3127.0,2956.0,2383.0,1836.0,1836.0
AIIMS Mangalagiri,MBBS,GN PWD,233062.0,154442.0,385511.0,134684.0,134684.0
AIIMS Mangalagiri,MBBS,OBC,4694.0,4389.0,3530.0,3214.0,3214.0
AIIMS Mangalagiri,MBBS,OBC PWD,256869.0,232670.0,412694.0,318422.0,318422.0
AIIMS Mangalagiri,MBBS,SC,33066.0,27923.0,31673.0,21926.0,21926.0
AIIMS Mangalagiri,MBBS,SC PWD,234390.0,,431160.0,,
AIIMS Mangalagiri,MBBS,ST,47248.0,45782.0,47155.0,41495.0,41495.0
AIIMS Mangalagiri,MBBS,ST PWD,,,,385913.0,385913.0
AIIMS Rajkot,MBBS,EWS,4235.0,4385.0,4061.0,2574.0,2574.0
AIIMS Rajkot,MBBS,EWS PWD,,355377.0,,,
AIIMS Rajkot,MBBS,GN,3085.0,3135.0,2790.0,1854.0,1854.0
AIIMS Rajkot,MBBS,GN PWD,175670.0,123895.0,339495.0,76369.0,76369.0
AIIMS Rajkot,MBBS,OBC,4252.0,4164.0,3678.0,3057.0,3057.0
AIIMS Rajkot,MBBS,OBC PWD,272627.0,273893.0,,234232.0,234232.0
AIIMS Rajkot,MBBS,SC,22782.0,31948.0,28813.0,22958.0,22958.0
AIIMS Rajkot,MBBS,SC PWD,,,691721.0,,
AIIMS Rajkot,MBBS,ST,44412.0,49747.0,47365.0,35334.0,35334.0
AIIMS Telangana  Bibi Nagar  Village Rangapur Mandal Name Bibinagar,MBBS,EWS,6048.0,,,,
AIIMS Telangana  Bibi Nagar  Village Rangapur Mandal Name Bibinagar,MBBS,GN,3086.0,,,,
AIIMS Telangana  Bibi Nagar  Village Rangapur Mandal Name Bibinagar,MBBS,GN PWD,195711.0,,,,
AIIMS Telangana  Bibi Nagar  Village Rangapur Mandal Name Bibinagar,MBBS,OBC,5083.0,,,,
AIIMS Telangana  Bibi Nagar  Village Rangapur Mandal Name Bibinagar,MBBS,OBC PWD,300061.0,,,,
AIIMS Telangana  Bibi Nagar  Village Rangapur Mandal Name Bibinagar,MBBS,SC,35699.0,,,,
AIIMS Telangana  Bibi Nagar  Village Rangapur Mandal Name Bibinagar,MBBS,SC PWD,603011.0,,,,
AIIMS Telangana  Bibi Nagar  Village Rangapur Mandal Name Bibinagar,MBBS,ST,37311.0,,,,
AIIMS-Bhopal,MBBS,EW PWD,91107.0,,,,
AIIMS-Bhopal,MBBS,EWS,1724.0,1286.0,1304.0,1013.0,1013.0
AIIMS-Bhopal,MBBS,EWS PWD,,203730.0,,88582.0,88582.0
AIIMS-Bhopal,MBBS,GN,591.0,572.0,576.0,510.0,510.0
AIIMS-Bhopal,MBBS,GN PWD,89697.0,41972.0,45424.0,72310.0,72310.0
