College,Course,Category,Predicted_Rank_2025,Allotted_Rank_2020,Allotted_Rank_2021,Allotted_Rank_2022,Allotted_Rank_2023,Allotted_Rank_2024
AIIMS Jammu,MBBS,ST PWD,437147.105,,,,540974,540974
AIIMS Mangalagiri,MBBS,EWS,3448.87,5609,4440,3498,3329,3329
AIIMS Mangalagiri,MBBS,GN,1959.24,3127,2956,2383,1836,1836
AIIMS Mangalagiri,MBBS,GN PWD,185867.75,233062,154442,385511,134684,134684
AIIMS Mangalagiri,MBBS,OBC,3358.2,4694,4389,3530,3214,3214
AIIMS Mangalagiri,MBBS,OBC PWD,326584.76,256869,232670,412694,318422,318422
AIIMS Mangalagiri,MBBS,SC,23203.86,33066,27923,31673,21926,21926
AIIMS Mangalagiri,MBBS,ST,41556.83,47248,45782,47155,41495,41495
AIIMS Mangalagiri,MBBS,ST PWD,418491.455,,,,385913,385913
AIIMS Rajkot,MBBS,EWS,2877.43,4235,4385,4061,2574,2574
AIIMS Rajkot,MBBS,GN,1929.845,3085,3135,2790,1854,1854
AIIMS Rajkot,MBBS,GN PWD,128307.145,175670,123895,339495,76369,76369
AIIMS Rajkot,MBBS,OBC,3157.39,4252,4164,3678,3057,3057
AIIMS Rajkot,MBBS,OBC PWD,324277.21,272627,273893,,234232,234232
AIIMS Rajkot,MBBS,SC,23072.795,22782,31948,28813,22958,22958
AIIMS Rajkot,MBBS,ST,36492.22,44412,49747,47365,35334,35334
AIIMS-Bhopal,MBBS,EWS,1114.795,1724,1286,1304,1013,1013
AIIMS-Bhopal,MBBS,EWS PWD,179015.55,,203730,,88582,88582
AIIMS-Bhopal,MBBS,GN,958.42,591,572,576,510,510
AIIMS-Bhopal,MBBS,GN PWD,109592.4,89697,41972,45424,72310,72310
AIIMS-Bhopal,MBBS,OBC,5094.495,1273,1235,1316,992,992
AIIMS-Bhopal,MBBS,OBC PWD,147866.125,126254,68836,265375,118490,118490
AIIMS-Bhopal,MBBS,SC,24039.82,9624,6706,8604,5850,5850
AIIMS-Bhopal,MBBS,SC PWD,350942.385,,232998,153248,278509,278509
AIIMS-Bhopal,MBBS,ST,33917,16114,19741,19468,15645,15645
AIIMS-Bhopal,MBBS,ST PWD,441370.17,,191936,,421491,421491
ANUGRAH NARAYAN MAGADH MEDICAL COLLEGE,MBBS,EWS,11802.145,,8675,11431,13216,13216
ANUGRAH NARAYAN MAGADH MEDICAL COLLEGE,MBBS,GN,13463.705,9345,8036,8555,10286,10286
ANUGRAH NARAYAN MAGADH MEDICAL COLLEGE,MBBS,OBC,11260.595,,9425,10019,11196,11196
ANUGRAH NARAYAN MAGADH MEDICAL COLLEGE,MBBS,OBC PWD,430484.06,,,,595151,595151
ANUGRAH NARAYAN MAGADH MEDICAL COLLEGE,MBBS,SC,57083.055,54802,53241,58356,70390,70390
ANUGRAH NARAYAN MAGADH MEDICAL COLLEGE,MBBS,ST,90016.175,80853,,103420,93471,93471
ASSAM MEDICAL COLLEGE,MBBS,EWS,15762.475,,11599,12922,16550,16550
ASSAM MEDICAL COLLEGE,MBBS,GN,21037.43,10630,10322,10566,11898,11898
ASSAM MEDICAL COLLEGE,MBBS,GN PWD,611933.75,353342,133275,,696159,696159
ASSAM MEDICAL COLLEGE,MBBS,OBC,14452.585,,12700,13243,14995,14995
ASSAM MEDICAL COLLEGE,MBBS,SC,87085.905,57415,59374,66969,79924,79924
ASSAM MEDICAL COLLEGE,MBBS,ST,91777.765,68875,90090,101454,92051,92051
ATAL BIHARI VAJPAYEE GOVERNMENT MEDICAL COLLEGE,MBBS,EWS,12634.11,,9311,11792,11489,11489
ATAL BIHARI VAJPAYEE GOVERNMENT MEDICAL COLLEGE,MBBS,GN,59962.78,9343,8805,8937,6894,6894
ATAL BIHARI VAJPAYEE GOVERNMENT MEDICAL COLLEGE,MBBS,GN PWD,488134.975,288993,,,435530,435530
ATAL BIHARI VAJPAYEE GOVERNMENT MEDICAL COLLEGE,MBBS,OBC,26491.715,,10663,11249,10088,10088
ATAL BIHARI VAJPAYEE GOVERNMENT MEDICAL COLLEGE,MBBS,SC,76886.48,55732,60802,65022,64119,64119
ATAL BIHARI VAJPAYEE GOVERNMENT MEDICAL COLLEGE,MBBS,ST,74343.115,73951,78590,83713,66562,66562
Aarupadai Veedu Medical College and Hospt.,MBBS,EWS,826132.32,,578821,760489,986104,986104
Aarupadai Veedu Medical College and Hospt.,MBBS,GN,1003845.375,608167,681707,764950,1034896,1034896
Aarupadai Veedu Medical College and Hospt.,MBBS,OBC,866314.03,,678935,754287,1035938,1035938
Aarupadai Veedu Medical College and Hospt.,MBBS,SC,759831.165,,677740,740343,1033267,1033267
Aarupadai Veedu Medical College and Hospt.,MBBS,ST,889265.525,,,726036,1015597,1015597
Amrita Institute of Medical Science,MBBS,GN,1037630.215,455072,720381,821978,1044974,1044974
Amrita Institute of Medical Science,MBBS,OBC,414410.345,,822161,769217,269345,269345
Amrita Institute of Medical Science,MBBS,SC,306410.665,,,144855,206265,206265
Amrita Institute of Medical Science,MBBS,ST,599589.48,,,,528896,528896
Amrita School of Dentistry,BDS,EWS,622555.725,,345207,,654321,654321
Amrita School of Dentistry,BDS,GN,710019.545,640423,717066,851229,719816,719816
Amrita School of Dentistry,BDS,OBC,709017.585,,793217,908404,714017,714017
Amrita School of Dentistry,BDS,SC,547253.615,,,252127,462034,462034
Amrita School of Medicine Faridabad,MBBS,EWS,120090.295,,,,136923,136923
Amrita School of Medicine Faridabad,MBBS,GN,1010071.085,,,,1138051,1138051
Amrita School of Medicine Faridabad,MBBS,GN PWD,265886,,,,234346,234346
Amrita School of Medicine Faridabad,MBBS,OBC,1132685.635,,,,1389425,1389425
Amrita School of Medicine Faridabad,MBBS,ST,168364.305,,,,182127,182127
Andaman and Nicobar Islands Institute of Medical S,MBBS,EWS,49581.01,,14000,14169,21479,21479
Andaman and Nicobar Islands Institute of Medical S,MBBS,GN,197784.08,12133,12745,9043,15675,15675
Andaman and Nicobar Islands Institute of Medical S,MBBS,OBC,97518.325,,14065,16535,17362,17362
Andaman and Nicobar Islands Institute of Medical S,MBBS,OBC PWD,816108.41,,,,864414,864414
Andaman and Nicobar Islands Institute of Medical S,MBBS,SC,81669.54,68520,69643,76379,89626,89626
Andaman and Nicobar Islands Institute of Medical S,MBBS,ST,102572.365,77362,92413,94360,99902,99902
Andhra Medical College,MBBS,EWS,14384.54,,6510,6736,8216,8216
Andhra Medical College,MBBS,GN,94070.04,4459,4941,5071,3846,3846
Andhra Medical College,MBBS,GN PWD,290688.145,155006,289580,,239246,239246
Andhra Medical College,MBBS,OBC,14220.415,,6696,7565,6372,6372
Andhra Medical College,MBBS,OBC PWD,646044.88,,489419,502728,537197,537197
Andhra Medical College,MBBS,SC,50812.91,29476,48517,44708,39830,39830
Andhra Medical College,MBBS,SC PWD,700351.565,588970,,908078,687949,687949
Andhra Medical College,MBBS,ST,78833.34,46634,58221,69819,74085,74085
Atal Bihari Vajpayee Institute of Medical Sciences,MBBS,EWS,9325.445,7237,5139,5797,5971,5971
Atal Bihari Vajpayee Institute of Medical Sciences,MBBS,GN,189576.62,4437,27583,839489,286497,286497
Atal Bihari Vajpayee Institute of Medical Sciences,MBBS,GN PWD,529570.825,714255,682338,653347,568064,568064
Atal Bihari Vajpayee Institute of Medical Sciences,MBBS,OBC,10026.56,12638,23726,28949,646161,646161
Atal Bihari Vajpayee Institute of Medical Sciences,MBBS,SC,55108.76,52218,45096,166443,49180,49180
Atal Bihari Vajpayee Institute of Medical Sciences,MBBS,ST,124601.845,158475,182681,182050,168904,168904
Autonomous State Medical Collage,MBBS,EWS,13923.29,,,,15225,15225
Autonomous State Medical Collage,MBBS,GN,123601.57,,,,12394,12394
Autonomous State Medical Collage,MBBS,OBC,14142.615,,,,14430,14430
Autonomous State Medical Collage,MBBS,SC,56668.46,,,,83287,83287
Autonomous State Medical Collage,MBBS,ST,106983.015,,,,108139,108139
Autonomous State Medical College,MBBS,EWS,13280.725,,11101,13035,12716,12716
Autonomous State Medical College,MBBS,EWS PWD,867496.88,,,509259,878113,878113
Autonomous State Medical College,MBBS,GN,47622.49,,9676,10502,11757,11757
Autonomous State Medical College,MBBS,OBC,13216.67,,11677,11567,12941,12941
Autonomous State Medical College,MBBS,OBC PWD,514219.44,,374892,503155,489456,489456
Autonomous State Medical College,MBBS,SC,71163.04,,52624,69106,72782,72782
Autonomous State Medical College,MBBS,SC PWD,947520.155,,869844,,1057792,1057792
Autonomous State Medical College,MBBS,ST,104159.08,,84723,96058,101873,101873
Autonomous State Medical College,MBBS,ST PWD,801965.77,,,,1043751,1043751
Autonomous State Medical College Society,MBBS,EWS,14272.45,,12427,13627,14577,14577
Autonomous State Medical College Society,MBBS,GN,27314.83,,11828,12620,13014,13014
Autonomous State Medical College Society,MBBS,OBC,14521.85,,13098,14009,15012,15012
Autonomous State Medical College Society,MBBS,SC,77774.535,,65476,73763,85318,85318
Autonomous State Medical College Society,MBBS,ST,103632.365,,92769,109633,103534,103534
Autonomous State Medical college Society Hardoi,MBBS,EWS,14243.13,,12371,,14504,14504
Autonomous State Medical college Society Hardoi,MBBS,GN,18041.295,,11783,11377,12321,12321
Autonomous State Medical college Society Hardoi,MBBS,GN PWD,583119.525,,,,608295,608295
Autonomous State Medical college Society Hardoi,MBBS,OBC,13574.595,,12685,12666,13512,13512
Autonomous State Medical college Society Hardoi,MBBS,SC,77949.655,,64213,68885,84642,84642
Autonomous State Medical college Society Hardoi,MBBS,ST,109053.86,,89740,,117237,117237
B.J. Government Medical College,MBBS,EWS,9028.92,,,,5164,5164
B.J. Government Medical College,MBBS,GN,22113.175,,,,2379,2379
B.J. Government Medical College,MBBS,OBC,14646.06,,,,4598,4598
B.J. Government Medical College,MBBS,OBC PWD,394250.755,,,,308810,308810
B.J. Government Medical College,MBBS,SC,40415.72,,,,28594,28594
B.J. Government Medical College,MBBS,SC PWD,208863.33,,,,88680,88680
B.J. Government Medical College,MBBS,ST,74718.97,,,,72444,72444
B.J. MEDICAL COLLEGE,MBBS,EWS,6894.98,,1230,1579,2416,2416
B.J. MEDICAL COLLEGE,MBBS,GN,46313.35,970,706,619,676,676
B.J. MEDICAL COLLEGE,MBBS,OBC,63496.07,,1920,2036,2180,2180
B.J. MEDICAL COLLEGE,MBBS,OBC PWD,431390.09,,,397293,402530,402530
B.J. MEDICAL COLLEGE,MBBS,SC,22707.505,13789,9767,13912,14266,14266
B.J. MEDICAL COLLEGE,MBBS,ST,43684.355,29488,17173,34545,38407,38407
B.L.D.E University,MBBS,EWS,225741.35,,214971,226140,261752,261752
B.L.D.E University,MBBS,GN,886573.42,754286,668345,872793,1125560,1125560
B.L.D.E University,MBBS,OBC,1152364.02,,252147,546385,1353253,1353253
B.L.D.E University,MBBS,SC,217364.44,,251364,221867,247264,247264
B.R.D. MEDICAL COLLEGE,MBBS,EWS,29176.385,,6602,6555,6174,6174
B.R.D. MEDICAL COLLEGE,MBBS,GN,775870.76,,5710,5315,5835,5835
B.R.D. MEDICAL COLLEGE,MBBS,OBC,94749.11,,6712,7187,6961,6961
B.R.D. MEDICAL COLLEGE,MBBS,SC,59440.14,,50350,54212,47762,47762
B.R.D. MEDICAL COLLEGE,MBBS,ST,65636.745,,76217,72179,82531,82531
BANKURA SAMMILANI MED COLL,MBBS,EWS,41245.025,,10908,12377,13027,13027
BANKURA SAMMILANI MED COLL,MBBS,GN,83506.045,10364,8252,10087,10552,10552
BANKURA SAMMILANI MED COLL,MBBS,OBC,65057.87,,11840,11964,13158,13158
BANKURA SAMMILANI MED COLL,MBBS,OBC PWD,692913.955,,,,777299,777299
BANKURA SAMMILANI MED COLL,MBBS,SC,72925.375,56623,50664,66312,68315,68315
BANKURA SAMMILANI MED COLL,MBBS,ST,173164.35,89605,91707,110550,116228,116228
BELGAUM INST. OF MEDICAL SCI.,MBBS,EWS,40807.58,,9693,12647,12298,12298
BELGAUM INST. OF MEDICAL SCI.,MBBS,GN,80724.65,8074,8133,6873,5855,5855
BELGAUM INST. OF MEDICAL SCI.,MBBS,OBC,62690.67,,9487,11163,9572,9572
BELGAUM INST. OF MEDICAL SCI.,MBBS,SC,69189.98,48903,66760,61262,62944,62944
BELGAUM INST. OF MEDICAL SCI.,MBBS,ST,152592.705,69297,58857,75388,71044,71044
BHAARATH MEDICAL COLLEGE AND HOSPITAL,MBBS,EWS,817947.2,,,846986,918428,918428
BHAARATH MEDICAL COLLEGE AND HOSPITAL,MBBS,GN,901802.065,,767936,878306,1060578,1060578
BHAARATH MEDICAL COLLEGE AND HOSPITAL,MBBS,OBC,868139.705,,914957,947170,1062838,1062838
BHAARATH MEDICAL COLLEGE AND HOSPITAL,MBBS,SC,761572.725,,494221,942164,1055241,1055241
BHAARATH MEDICAL COLLEGE AND HOSPITAL,MBBS,ST,829981.93,,753623,,1020215,1020215
BIDAR INSTITUTE OF MEDICAL SCI.,MBBS,EWS,78453.665,,13594,15927,15494,15494
BIDAR INSTITUTE OF MEDICAL SCI.,MBBS,GN,158358.49,9569,11838,12545,12991,12991
BIDAR INSTITUTE OF MEDICAL SCI.,MBBS,GN PWD,532817.7,224183,,,559326,559326
BIDAR INSTITUTE OF MEDICAL SCI.,MBBS,OBC,155430.955,,13049,14220,14056,14056
BIDAR INSTITUTE OF MEDICAL SCI.,MBBS,SC,107673.395,59467,69380,77300,91192,91192
BIDAR INSTITUTE OF MEDICAL SCI.,MBBS,ST,452174.97,60685,73449,78501,91639,91639
BPS Govt. Med. College,MBBS,EWS,21732.305,,9078,11697,11495,11495
BPS Govt. Med. College,MBBS,GN,19516.155,5633,8096,8780,8396,8396
BPS Govt. Med. College,MBBS,GN PWD,447660.965,348929,,,386312,386312
BPS Govt. Med. College,MBBS,OBC,33203.61,,10596,11568,12096,12096
BPS Govt. Med. College,MBBS,OBC PWD,693854.585,,508856,,487275,487275
BPS Govt. Med. College,MBBS,SC,73109.9,37278,54540,60289,65785,65785
BPS Govt. Med. College,MBBS,ST,86168.85,70275,86224,95673,70131,70131
BUNDELKHAND MEDICAL COLLEGE,MBBS,EWS,21360.23,,8465,10774,11643,11643
BUNDELKHAND MEDICAL COLLEGE,MBBS,GN,8962.145,8485,7971,8569,8986,8986
BUNDELKHAND MEDICAL COLLEGE,MBBS,OBC,16361.43,,9309,10289,10284,10284
BUNDELKHAND MEDICAL COLLEGE,MBBS,OBC PWD,759216.83,,,,818616,818616
BUNDELKHAND MEDICAL COLLEGE,MBBS,SC,69903.49,51506,57015,60072,65432,65432
BUNDELKHAND MEDICAL COLLEGE,MBBS,ST,100874.055,73479,78560,82335,94202,94202
BURDWAN MEDICAL COLLEGE,MBBS,EWS,52359.99,,9558,10481,11462,11462
BURDWAN MEDICAL COLLEGE,MBBS,EWS PWD,946892.08,,,,960054,960054
BURDWAN MEDICAL COLLEGE,MBBS,GN,48975.105,9084,6990,7668,9457,9457
BURDWAN MEDICAL COLLEGE,MBBS,GN PWD,343030.32,360364,,211226,588038,588038
BURDWAN MEDICAL COLLEGE,MBBS,OBC,39274.63,,9000,9714,11037,11037
BURDWAN MEDICAL COLLEGE,MBBS,SC,90982.855,46832,46519,58882,54589,54589
BURDWAN MEDICAL COLLEGE,MBBS,SC PWD,825497.06,,459613,,973680,973680
BURDWAN MEDICAL COLLEGE,MBBS,ST,101520.83,83073,86666,107483,106003,106003
