College,Course,Category,Predicted_Rank_2025,Allotted_Rank_2020,Allotted_Rank_2021,Allotted_Rank_2022,Allotted_Rank_2023,Allotted_Rank_2024
G.S.V.M. MEDICAL COLLEGE,MBBS,OBC,13738.515,,4327,4928,4865,4865
G.S.V.M. MEDICAL COLLEGE,MBBS,SC,39898.15,31948,42883,37453,38421,38421
G.S.V.M. MEDICAL COLLEGE,MBBS,ST,81359.175,53593,66400,64487,73721,73721
GAJRA RAJA MEDICAL COLLEGE,MBBS,EWS,7915.365,,,7619,7476,7476
GAJRA RAJA MEDICAL COLLEGE,MBBS,GN,5348.725,,,5969,5674,5674
GAJRA RAJA MEDICAL COLLEGE,MBBS,GN PWD,496269.205,,,,513671,513671
GAJRA RAJA MEDICAL COLLEGE,MBBS,OBC,16092.7,,,8109,7539,7539
GAJRA RAJA MEDICAL COLLEGE,MBBS,SC,46847.42,,,53020,47901,47901
GAJRA RAJA MEDICAL COLLEGE,MBBS,ST,78302.775,,,78043,68219,68219
GANDHI MEDICAL COLLEGE,MBBS,EWS,6909.115,,5931,7177,6050,6050
GANDHI MEDICAL COLLEGE,MBBS,GN,5020.19,4298,4095,4748,4668,4668
GANDHI MEDICAL COLLEGE,MBBS,GN PWD,539241.635,292121,198700,303562,559218,559218
GANDHI MEDICAL COLLEGE,MBBS,OBC,27694.735,,5986,6724,6687,6687
GANDHI MEDICAL COLLEGE,MBBS,SC,46049.225,37007,48646,46622,45971,45971
GANDHI MEDICAL COLLEGE,MBBS,ST,74487.195,59900,68762,65795,60630,60630
GDC,BDS,EWS,35839.61,,20811,27258,33713,33713
GDC,BDS,GN,31644.875,16276,18537,24081,28090,28090
GDC,BDS,OBC,34280.68,,24048,28749,32826,32826
GDC,BDS,SC,99189.455,77021,81880,92907,98302,98302
GDC,BDS,ST,169698.66,96054,127267,120292,163064,163064
GITAM Institue of Med. Sce. and Res.,MBBS,EWS,588782.595,,511143,831286,584592,584592
GITAM Institue of Med. Sce. and Res.,MBBS,GN,661807.05,528716,600273,865960,874883,874883
GITAM Institue of Med. Sce. and Res.,MBBS,OBC,682442.68,,601233,595240,824546,824546
GITAM Institue of Med. Sce. and Res.,MBBS,SC,803126.445,,560210,570506,871427,871427
GITAM Institue of Med. Sce. and Res.,MBBS,ST,601658.175,,553241,341400,676045,676045
GMC,MBBS,EWS,56068.19,,8999,8237,12050,12050
GMC,MBBS,EWS PWD,928658.455,,,311188,1076270,1076270
GMC,MBBS,GN,261031.41,3115,5598,7035,4435,4435
GMC,MBBS,GN PWD,650628.68,221533,,,449626,449626
GMC,MBBS,OBC,141464.2,,6308,8249,5513,5513
GMC,MBBS,OBC PWD,750938.685,,,566673,660143,660143
GMC,MBBS,SC,180741.995,48349,54858,58214,69174,69174
GMC,MBBS,ST,119009.115,62739,82169,83788,79666,79666
GMC DAUSA RAJASTHAN,MBBS,EWS,17241.285,,,,13740,13740
GMC DAUSA RAJASTHAN,MBBS,GN,19358.76,,,,9096,9096
GMC DAUSA RAJASTHAN,MBBS,OBC,15202.21,,,,10849,10849
GMC DAUSA RAJASTHAN,MBBS,SC,63527.58,,,,52207,52207
GMC DAUSA RAJASTHAN,MBBS,ST,63514.365,,,,51245,51245
GMC Jangaon,MBBS,EWS,16168.105,,,,17471,17471
GMC Jangaon,MBBS,GN,16023.905,,,,17193,17193
GMC Jangaon,MBBS,GN PWD,663940.83,,,,737003,737003
GMC Jangaon,MBBS,OBC,17267.405,,,,18471,18471
GMC Jangaon,MBBS,SC,91356.44,,,,95156,95156
GMC Jangaon,MBBS,ST,111294.335,,,,119002,119002
GMC KARAULI,MBBS,EWS,14170.365,,,,12077,12077
GMC KARAULI,MBBS,EWS PWD,898638.895,,,,919550,919550
GMC KARAULI,MBBS,GN,15373.13,,,,10145,10145
GMC KARAULI,MBBS,GN PWD,552735.33,,,,461302,461302
GMC KARAULI,MBBS,OBC,13654.305,,,,12142,12142
GMC KARAULI,MBBS,SC,75497.915,,,,71568,71568
GMC KARAULI,MBBS,ST,111777.505,,,,94142,94142
GMC Kamareddy,MBBS,EWS,19868.36,,,,21702,21702
GMC Kamareddy,MBBS,GN,16059.2,,,,18539,18539
GMC Kamareddy,MBBS,OBC,17932.665,,,,19151,19151
GMC Kamareddy,MBBS,SC,84437.855,,,,88306,88306
GMC Kamareddy,MBBS,ST,115491.525,,,,124924,124924
GMERS Medical College,MBBS,EWS,18492.34,,,14616,18633,18633
GMERS Medical College,MBBS,GN,13540.65,,,13158,12664,12664
GMERS Medical College,MBBS,GN PWD,727851.37,,,,777291,777291
GMERS Medical College,MBBS,OBC,17042.935,,,14990,16894,16894
GMERS Medical College,MBBS,OBC PWD,843589.505,,,,907589,907589
GMERS Medical College,MBBS,SC,78294.575,,,77524,76353,76353
GMERS Medical College,MBBS,SC PWD,903281.32,,,,1346762,1346762
GMERS Medical College,MBBS,ST,106789.235,,,108634,103410,103410
GOA DENTAL COLLEGE & HOSPITAL,BDS,EWS,34916.585,,23348,27783,34788,34788
GOA DENTAL COLLEGE & HOSPITAL,BDS,GN,30033.27,19037,22831,25810,27586,27586
GOA DENTAL COLLEGE & HOSPITAL,BDS,OBC,34506.125,,24636,26490,34866,34866
GOA DENTAL COLLEGE & HOSPITAL,BDS,SC,130982.715,85838,90952,90764,135810,135810
GOA DENTAL COLLEGE & HOSPITAL,BDS,ST,191703.87,98060,136500,140305,201544,201544
GOA MEDICAL COLLEGE,MBBS,EWS,10171.07,,8838,9190,8467,8467
GOA MEDICAL COLLEGE,MBBS,EWS PWD,504933.82,,,,729407,729407
GOA MEDICAL COLLEGE,MBBS,GN,8607.955,6412,6218,5832,6717,6717
GOA MEDICAL COLLEGE,MBBS,GN PWD,607981.715,299544,,,591519,591519
GOA MEDICAL COLLEGE,MBBS,OBC,12973.81,,8106,9403,10898,10898
GOA MEDICAL COLLEGE,MBBS,SC,58034.195,43650,54661,58525,53298,53298
GOA MEDICAL COLLEGE,MBBS,SC PWD,703497.855,,,,609343,609343
GOA MEDICAL COLLEGE,MBBS,ST,96619.18,70862,85708,94401,92070,92070
GOVERMENT MEDICAL COLLEGE NANDURBAR MAHARARASTRA,MBBS,EWS,15479.695,,13035,15016,17083,17083
GOVERMENT MEDICAL COLLEGE NANDURBAR MAHARARASTRA,MBBS,GN,12910.185,,10977,11960,13638,13638
GOVERMENT MEDICAL COLLEGE NANDURBAR MAHARARASTRA,MBBS,OBC,14523.595,,12692,14419,15183,15183
GOVERMENT MEDICAL COLLEGE NANDURBAR MAHARARASTRA,MBBS,SC,70280.15,,63459,75359,82851,82851
GOVERMENT MEDICAL COLLEGE NANDURBAR MAHARARASTRA,MBBS,ST,99686.56,,81998,75890,107309,107309
GOVERNMENT MEDICAL COLLEGE,MBBS,EWS,7877.815,,10623,5632,5437,5437
GOVERNMENT MEDICAL COLLEGE,MBBS,EWS PWD,504933.82,,400305,762193,348805,348805
GOVERNMENT MEDICAL COLLEGE,MBBS,GN,5215.08,9862,9465,3387,3080,3080
GOVERNMENT MEDICAL COLLEGE,MBBS,GN PWD,428840.1,308889,105993,621608,374198,374198
GOVERNMENT MEDICAL COLLEGE,MBBS,OBC,7485.46,,11720,5776,5353,5353
GOVERNMENT MEDICAL COLLEGE,MBBS,OBC PWD,392741.69,,393826,717931,256928,256928
GOVERNMENT MEDICAL COLLEGE,MBBS,SC,41943.9,53037,62832,40057,34214,34214
GOVERNMENT MEDICAL COLLEGE,MBBS,SC PWD,891705.4,556137,420990,,943643,943643
GOVERNMENT MEDICAL COLLEGE,MBBS,ST,65191.425,82369,85415,65293,52501,52501
GOVERNMENT MEDICAL COLLEGE,MBBS,ST PWD,881063.47,535203,,,781469,781469
GOVERNMENT MEDICAL COLLEGE AND GENERAL HOSPITAL,MBBS,EWS,13909.73,,12896,14474,15646,15646
GOVERNMENT MEDICAL COLLEGE AND GENERAL HOSPITAL,MBBS,GN,10993.5,,12112,13470,13955,13955
GOVERNMENT MEDICAL COLLEGE AND GENERAL HOSPITAL,MBBS,OBC,14169.225,,13121,14688,15698,15698
GOVERNMENT MEDICAL COLLEGE AND GENERAL HOSPITAL,MBBS,OBC PWD,770310.61,,278336,,882597,882597
GOVERNMENT MEDICAL COLLEGE AND GENERAL HOSPITAL,MBBS,SC,77953.715,,70279,76959,83282,83282
GOVERNMENT MEDICAL COLLEGE AND GENERAL HOSPITAL,MBBS,ST,111380.305,,93381,,123964,123964
GOVERNMENT MEDICAL COLLEGE AND HOSPITAL,MBBS,EWS,3573.2,,904,1006,1770,1770
GOVERNMENT MEDICAL COLLEGE AND HOSPITAL,MBBS,GN,3036.35,634,455,313,778,778
GOVERNMENT MEDICAL COLLEGE AND HOSPITAL,MBBS,OBC,3985.235,,1480,1508,1754,1754
GOVERNMENT MEDICAL COLLEGE AND HOSPITAL,MBBS,OBC PWD,428917.975,,92546,,328843,328843
GOVERNMENT MEDICAL COLLEGE AND HOSPITAL,MBBS,SC,32898.685,6866,11473,4831,10357,10357
GOVERNMENT MEDICAL COLLEGE AND HOSPITAL,MBBS,ST,35417.02,14498,35620,17953,24807,24807
GOVERNMENT MEDICAL COLLEGE Karimnagar Telangana,MBBS,EWS,18528.04,,,,21439,21439
GOVERNMENT MEDICAL COLLEGE Karimnagar Telangana,MBBS,GN,11628.175,,,,17003,17003
GOVERNMENT MEDICAL COLLEGE Karimnagar Telangana,MBBS,OBC,16160.745,,,,18992,18992
GOVERNMENT MEDICAL COLLEGE Karimnagar Telangana,MBBS,SC,92671.885,,,,100376,100376
GOVERNMENT MEDICAL COLLEGE Karimnagar Telangana,MBBS,ST,114942.455,,,,127748,127748
GOVERNMENT MEDICAL COLLEGE MACHILIPATNAM,MBBS,EWS,22016.565,,,,22561,22561
GOVERNMENT MEDICAL COLLEGE MACHILIPATNAM,MBBS,GN,17621.775,,,,17942,17942
GOVERNMENT MEDICAL COLLEGE MACHILIPATNAM,MBBS,OBC,18856.59,,,,18877,18877
GOVERNMENT MEDICAL COLLEGE MACHILIPATNAM,MBBS,OBC PWD,870452.66,,,,963813,963813
GOVERNMENT MEDICAL COLLEGE MACHILIPATNAM,MBBS,SC,99679.98,,,,99889,99889
GOVERNMENT MEDICAL COLLEGE MACHILIPATNAM,MBBS,ST,128617.5,,,,132379,132379
GOVERNMENT MEDICAL COLLEGE NANDYAL,MBBS,EWS,21630.175,,,,21722,21722
GOVERNMENT MEDICAL COLLEGE NANDYAL,MBBS,GN,17864.765,,,,18164,18164
GOVERNMENT MEDICAL COLLEGE NANDYAL,MBBS,GN PWD,830235.73,,,,863726,863726
GOVERNMENT MEDICAL COLLEGE NANDYAL,MBBS,OBC,18878.315,,,,19261,19261
GOVERNMENT MEDICAL COLLEGE NANDYAL,MBBS,SC,98227.91,,,,98531,98531
GOVERNMENT MEDICAL COLLEGE NANDYAL,MBBS,SC PWD,1109954.615,,,,1190658,1190658
GOVERNMENT MEDICAL COLLEGE NANDYAL,MBBS,ST,129001.2,,,,132340,132340
GOVERNMENT MEDICAL COLLEGE PURNEA,MBBS,EWS,16040.38,,,,14328,14328
GOVERNMENT MEDICAL COLLEGE PURNEA,MBBS,GN,14955.395,,,,14249,14249
GOVERNMENT MEDICAL COLLEGE PURNEA,MBBS,GN PWD,706690.13,,,,666481,666481
GOVERNMENT MEDICAL COLLEGE PURNEA,MBBS,OBC,15903.855,,,,15137,15137
GOVERNMENT MEDICAL COLLEGE PURNEA,MBBS,SC,89598.2,,,,88162,88162
GOVERNMENT MEDICAL COLLEGE PURNEA,MBBS,ST,122115.39,,,,117252,117252
GOVT DEN COLL DENTAL WING PATIALA,BDS,GN,31527.25,18685,,27845,31285,31285
GOVT DEN COLL DENTAL WING PATIALA,BDS,OBC,34986.635,,21217,29568,35529,35529
GOVT DEN COLL DENTAL WING PATIALA,BDS,SC,118763.92,46030,65689,79328,116898,116898
GOVT DENTAL COLLEGE Kannur,BDS,EWS,47979.975,,18507,32194,34245,34245
GOVT DENTAL COLLEGE Kannur,BDS,OBC,32385.095,,26216,31856,31815,31815
GOVT DENTAL COLLEGE Kannur,BDS,OBC PWD,1269940.155,,,,1297492,1297492
GOVT DENTAL COLLEGE Kannur,BDS,SC,122935.865,54319,108310,99188,123005,123005
GOVT DENTAL COLLEGE Kannur,BDS,ST,198482.215,115251,118284,,209614,209614
GOVT MEDICAL COLLEGE,MBBS,EWS,22333.08,,,18985,22805,22805
GOVT MEDICAL COLLEGE,MBBS,GN,18843.62,10365,,17323,19169,19169
GOVT MEDICAL COLLEGE,MBBS,GN PWD,821206.845,64980,,,853027,853027
GOVT MEDICAL COLLEGE,MBBS,OBC,19345.79,,,18007,19679,19679
GOVT MEDICAL COLLEGE,MBBS,OBC PWD,1033499.84,,,,1061702,1061702
GOVT MEDICAL COLLEGE,MBBS,SC,98056.925,66228,,89139,104376,104376
GOVT MEDICAL COLLEGE,MBBS,ST,130054.3,71018,,118056,133244,133244
GOVT MEDICAL COLLEGE,MBBS,ST PWD,1076286.08,,,,1162789,1162789
GOVT MEDICAL COLLEGE VIZIANAGARAM,MBBS,EWS,22086.94,,,,22408,22408
GOVT MEDICAL COLLEGE VIZIANAGARAM,MBBS,GN,18410.535,,,,18420,18420
GOVT MEDICAL COLLEGE VIZIANAGARAM,MBBS,OBC,19111.92,,,,19193,19193
GOVT MEDICAL COLLEGE VIZIANAGARAM,MBBS,SC,96769.235,,,,99277,99277
GOVT MEDICAL COLLEGE VIZIANAGARAM,MBBS,ST,130991.46,,,,135192,135192
GOVT. COLLEGE OF DENTISTRY,BDS,EWS,31415.63,,23435,28178,29498,29498
GOVT. COLLEGE OF DENTISTRY,BDS,GN,27765.085,17642,22657,25329,29308,29308
GOVT. COLLEGE OF DENTISTRY,BDS,OBC,31894.43,,24457,30419,35779,35779
GOVT. COLLEGE OF DENTISTRY,BDS,SC,145276.32,82605,95312,99143,152405,152405
GOVT. D.C. & RESEARCH INST,BDS,GN,23190.065,13876,17457,,20488,20488
GOVT. D.C. & RESEARCH INST,BDS,OBC,26213.46,,24513,19675,24175,24175
GOVT. D.C. & RESEARCH INST,BDS,SC,124297.765,76708,,,119066,119066
GOVT. DC & RESEARCH INSt.,BDS,EWS,38138.935,,27150,20984,39014,39014
GOVT. DC & RESEARCH INSt.,BDS,GN,29205.735,20461,24531,16035,32391,32391
GOVT. DC & RESEARCH INSt.,BDS,OBC,33018.375,,26534,29979,37161,37161
GOVT. DC & RESEARCH INSt.,BDS,SC,130140.575,85740,101187,106330,138780,138780
GOVT. DENTAL COLL.& HOSP.,BDS,EWS,35875.065,,25626,28972,35750,35750
GOVT. DENTAL COLL.& HOSP.,BDS,GN,31580.865,19232,24313,23117,33644,33644
GOVT. DENTAL COLL.& HOSP.,BDS,OBC,36836.73,,25658,28194,37866,37866
GOVT. DENTAL COLL.& HOSP.,BDS,SC,135688.925,86484,107932,101470,146580,146580
GOVT. DENTAL COLL.& HOSP.,BDS,ST,151983.565,109305,134546,118965,147193,147193
GOVT. DENTAL COLLEGE,BDS,EWS,31159.14,,24119,29394,30437,30437
GOVT. DENTAL COLLEGE,BDS,GN,24185.605,15129,19661,20016,9890,9890
GOVT. DENTAL COLLEGE,BDS,OBC,26701.265,,21100,26102,24172,24172
GOVT. DENTAL COLLEGE,BDS,SC,77304.015,58528,97870,100557,63191,63191
GOVT. DENTAL COLLEGE,BDS,ST,152945.765,90227,113737,120644,149457,149457
GOVT. DENTAL COLLEGE & HOSP,BDS,EWS,32489.51,,23611,27298,33123,33123
GOVT. DENTAL COLLEGE & HOSP,BDS,GN,28725.425,20266,21465,25608,29935,29935
GOVT. DENTAL COLLEGE & HOSP,BDS,GN PWD,1139958.675,546438,643877,953999,1149893,1149893
GOVT. DENTAL COLLEGE & HOSP,BDS,OBC,32451.91,,24099,28462,34445,34445
GOVT. DENTAL COLLEGE & HOSP,BDS,SC,137503.585,87701,98864,104721,152980,152980
GOVT. DENTAL COLLEGE & HOSP,BDS,ST,185801.95,107868,128569,129990,194310,194310
GOVT. DENTAL COLLEGE & HOSP.,BDS,EWS,27936.3,,15426,29029,27100,27100
GOVT. DENTAL COLLEGE & HOSP.,BDS,GN,23149.75,15638,9732,26069,21712,21712
GOVT. DENTAL COLLEGE & HOSP.,BDS,GN PWD,1177914.52,414251,574507,,1194898,1194898
GOVT. DENTAL COLLEGE & HOSP.,BDS,OBC,24200.025,,24780,29916,22011,22011
GOVT. DENTAL COLLEGE & HOSP.,BDS,SC,132045.775,53952,84688,81897,131913,131913
GOVT. DENTAL COLLEGE & HOSP.,BDS,ST,167389.885,97206,118776,153414,160680,160680
GOVT. DHARAMAPURI MED COLL,MBBS,EWS,19784.505,,14542,16553,21480,21480
GOVT. DHARAMAPURI MED COLL,MBBS,GN,8734.6,7312,8086,11093,9050,9050
GOVT. DHARAMAPURI MED COLL,MBBS,OBC,9320.355,,10043,13415,9651,9651
GOVT. DHARAMAPURI MED COLL,MBBS,SC,73307.94,64655,74276,77135,77267,77267
GOVT. DHARAMAPURI MED COLL,MBBS,ST,117636.66,92369,97321,118917,124372,124372
GOVT. KILPAUK MEDICAL COLLEGE,MBBS,EWS,12452.025,,8389,9902,10916,10916
GOVT. KILPAUK MEDICAL COLLEGE,MBBS,GN,3598.9,3593,2256,2802,2810,2810
GOVT. KILPAUK MEDICAL COLLEGE,MBBS,OBC,6508.625,,3488,4021,4117,4117
GOVT. KILPAUK MEDICAL COLLEGE,MBBS,SC,70728.77,24290,29580,37594,24281,24281
GOVT. KILPAUK MEDICAL COLLEGE,MBBS,ST,84421.38,48736,78608,76076,83959,83959
GOVT. MEDICAL COLLEGE,MBBS,EWS,6771.205,,4891,6143,4808,4808
GOVT. MEDICAL COLLEGE,MBBS,GN,1378.79,926,947,1533,912,912
GOVT. MEDICAL COLLEGE,MBBS,GN PWD,85797.265,166790,78250,276569,47878,47878
GOVT. MEDICAL COLLEGE,MBBS,OBC,3044.71,,1783,2318,1449,1449
GOVT. MEDICAL COLLEGE,MBBS,OBC PWD,270340.4,,151976,344748,117982,117982
GOVT. MEDICAL COLLEGE,MBBS,SC,42531.95,18888,31035,34185,26823,26823
GOVT. MEDICAL COLLEGE,MBBS,SC PWD,514277.085,302934,890118,,391383,391383
GOVT. MEDICAL COLLEGE,MBBS,ST,46082.465,40857,59221,65397,34361,34361
GOVT. MEDICAL COLLEGE,MBBS,ST PWD,808394.86,,,,512142,512142
GOVT. MOHAN KUMARAMANGALAM M.C.,MBBS,EWS,17613.535,,13277,14346,20029,20029
GOVT. MOHAN KUMARAMANGALAM M.C.,MBBS,GN,5602.19,5218,6044,8235,5968,5968
GOVT. MOHAN KUMARAMANGALAM M.C.,MBBS,OBC,6972.495,,7648,10716,7749,7749
GOVT. MOHAN KUMARAMANGALAM M.C.,MBBS,OBC PWD,495027.54,,,,685369,685369
GOVT. MOHAN KUMARAMANGALAM M.C.,MBBS,SC,50578.285,43378,60028,60396,54651,54651
GOVT. MOHAN KUMARAMANGALAM M.C.,MBBS,SC PWD,1187770.17,,,,1317661,1317661
GOVT. MOHAN KUMARAMANGALAM M.C.,MBBS,ST,54849.1,82572,91449,114320,122239,122239
GOVT. VELLORE MEDICAL COLLEGE,MBBS,EWS,12971.45,,8247,9024,9881,9881
GOVT. VELLORE MEDICAL COLLEGE,MBBS,GN,4974.22,4828,5626,3594,5096,5096
GOVT. VELLORE MEDICAL COLLEGE,MBBS,OBC,6097.185,,7010,7729,6228,6228
GOVT. VELLORE MEDICAL COLLEGE,MBBS,OBC PWD,564218.275,,,,597292,597292
GOVT. VELLORE MEDICAL COLLEGE,MBBS,SC,52786.615,15846,42333,49594,58728,58728
GOVT. VELLORE MEDICAL COLLEGE,MBBS,ST,70950.575,39979,67879,88248,75309,75309
GOVT.MEDICAL COLLEGE,MBBS,EWS,7839.315,,5103,5707,6727,6727
GOVT.MEDICAL COLLEGE,MBBS,EWS PWD,587819.895,,50851,,680614,680614
GOVT.MEDICAL COLLEGE,MBBS,GN,2081.045,1078,1420,2274,1606,1606
GOVT.MEDICAL COLLEGE,MBBS,GN PWD,40420.475,203013,88119,372428,4725,4725
GOVT.MEDICAL COLLEGE,MBBS,OBC,2689.66,,2261,3188,2060,2060
GOVT.MEDICAL COLLEGE,MBBS,OBC PWD,241397.85,,239048,82215,141555,141555
GOVT.MEDICAL COLLEGE,MBBS,SC,36203.745,23916,34050,35889,35059,35059
GOVT.MEDICAL COLLEGE,MBBS,SC PWD,1313213.94,589068,609606,675507,1353609,1353609
GOVT.MEDICAL COLLEGE,MBBS,ST,47078.575,41424,46386,56847,42285,42285
GRANT MEDICAL COLL & SIR J.J.HOSP,MBBS,EWS,7229.935,,2712,2796,4237,4237
GRANT MEDICAL COLL & SIR J.J.HOSP,MBBS,GN,2391.185,1599,1614,1767,2338,2338
GRANT MEDICAL COLL & SIR J.J.HOSP,MBBS,OBC,3369.655,,2836,3480,3875,3875
GRANT MEDICAL COLL & SIR J.J.HOSP,MBBS,OBC PWD,339238.865,,,,386922,386922
GRANT MEDICAL COLL & SIR J.J.HOSP,MBBS,SC,31100.33,15319,25665,29789,29621,29621
GRANT MEDICAL COLL & SIR J.J.HOSP,MBBS,ST,48430.22,31974,39178,51654,48044,48044
GTMC,MBBS,EWS,17967.8,,15185,18204,19644,19644
GTMC,MBBS,GN,10478.1,8002,10998,12094,11098,11098
GTMC,MBBS,OBC,8848.43,,11689,13675,11884,11884
GTMC,MBBS,SC,50351.37,65599,58120,82385,84991,84991
GTMC,MBBS,ST,122070.9,91266,100717,119021,139105,139105
GUNTUR MEDICAL COLLEGE,MBBS,EWS,10547.395,,10485,11359,9021,9021
GUNTUR MEDICAL COLLEGE,MBBS,GN,7013.685,7063,8022,7255,6208,6208
GUNTUR MEDICAL COLLEGE,MBBS,GN PWD,462209.32,284507,,746329,351587,351587
GUNTUR MEDICAL COLLEGE,MBBS,OBC,9437.465,,11190,10329,9164,9164
GUNTUR MEDICAL COLLEGE,MBBS,SC,54272.135,46271,66200,47232,52427,52427
GUNTUR MEDICAL COLLEGE,MBBS,ST,80902.775,48784,68034,85048,76189,76189
GURU GOVIND SINGH MED COLL,MBBS,EWS,8415.915,,6860,7827,8073,8073
GURU GOVIND SINGH MED COLL,MBBS,GN,6094.625,6203,4919,5614,6049,6049
GURU GOVIND SINGH MED COLL,MBBS,OBC,8893.92,,7583,8350,8820,8820
GURU GOVIND SINGH MED COLL,MBBS,SC,58000.17,41256,51265,51204,60320,60320
GURU GOVIND SINGH MED COLL,MBBS,ST,84451.61,74897,82028,96109,96129,96129
GUWAHATI MEDICAL COLLEGE,MBBS,EWS,8498.565,,7718,8148,8016,8016
GUWAHATI MEDICAL COLLEGE,MBBS,GN,6149.59,7200,7298,6955,5851,5851
GUWAHATI MEDICAL COLLEGE,MBBS,GN PWD,577964.625,289285,,592774,692842,692842
GUWAHATI MEDICAL COLLEGE,MBBS,OBC,10842.935,,10109,10084,11881,11881
GUWAHATI MEDICAL COLLEGE,MBBS,SC,45670.255,48484,47309,55252,42107,42107
GUWAHATI MEDICAL COLLEGE,MBBS,ST,69704.065,64801,79780,70850,68364,68364
GVMC,MBBS,EWS,18150.365,,14428,16174,22017,22017
GVMC,MBBS,GN,9128.985,7923,8759,11648,9228,9228
GVMC,MBBS,OBC,11154.54,,10686,13691,10084,10084
GVMC,MBBS,SC,69183.325,57751,65261,71436,71877,71877
GVMC,MBBS,ST,69685.1,89824,100650,109687,67003,67003
Gadag Institute of Medical Sciences,MBBS,EWS,19082.58,,13823,16327,19059,19059
Gadag Institute of Medical Sciences,MBBS,GN,12849.735,10266,12265,14340,14399,14399
Gadag Institute of Medical Sciences,MBBS,OBC,12590.54,,13987,15725,16138,16138
Gadag Institute of Medical Sciences,MBBS,SC,88956.52,64381,73301,81686,92888,92888
Gadag Institute of Medical Sciences,MBBS,ST,100376.73,82434,67603,85072,112115,112115
Gandhi Medical College Musheerabad Secunderabad,MBBS,EWS,7765.975,,5480,4277,3999,3999
Gandhi Medical College Musheerabad Secunderabad,MBBS,EWS PWD,336693.97,,,658747,208768,208768
Gandhi Medical College Musheerabad Secunderabad,MBBS,GN,4405.44,2215,1797,2264,2588,2588
Gandhi Medical College Musheerabad Secunderabad,MBBS,OBC,5944.87,,4551,3854,4924,4924
Gandhi Medical College Musheerabad Secunderabad,MBBS,OBC PWD,434301.07,,328390,564220,447209,447209
Gandhi Medical College Musheerabad Secunderabad,MBBS,SC,36307.88,22567,40217,27495,27743,27743
Gandhi Medical College Musheerabad Secunderabad,MBBS,ST,50228.725,22072,35330,37901,42342,42342
Gmc,MBBS,EWS,10945.42,,10209,12683,12707,12707
Gmc,MBBS,GN,10705.81,9929,9823,10944,12318,12318
Gmc,MBBS,OBC,12193.19,,10735,11843,13044,13044
Gmc,MBBS,SC,75523.805,54661,60501,72607,80548,80548
Gmc,MBBS,ST,99009.075,71901,82725,106370,106052,106052
Goverment Medical College,MBBS,EWS,13769.645,,10407,12229,14074,14074
Goverment Medical College,MBBS,GN,11166.73,10242,9519,10301,11440,11440
Goverment Medical College,MBBS,OBC,12727.795,,10701,11048,12775,12775
Goverment Medical College,MBBS,SC,78414.76,56311,58593,61274,81333,81333
Goverment Medical College,MBBS,ST,105385.09,79866,71380,89348,105814,105814
Goverment Medical College And Hospital Jalgaon,MBBS,EWS,15223.26,,12024,14902,16468,16468
Goverment Medical College And Hospital Jalgaon,MBBS,GN,11995.14,10875,10746,12267,13468,13468
Goverment Medical College And Hospital Jalgaon,MBBS,OBC,14363.775,,12843,13404,14908,14908
Goverment Medical College And Hospital Jalgaon,MBBS,SC,77627.995,59905,68706,74476,78597,78597
Goverment Medical College And Hospital Jalgaon,MBBS,ST,116134.575,90893,95745,103345,119988,119988
Government Dental College,BDS,EWS,39455.585,,23728,30773,40540,40540
Government Dental College,BDS,GN,17379.92,12720,,17164,13225,13225
Government Dental College,BDS,OBC,28640.145,,25481,27734,25001,25001
Government Dental College,BDS,OBC PWD,1153674.91,,,917313,1184766,1184766
Government Dental College,BDS,SC,129292.55,64819,75804,107807,135756,135756
Government Dental College,BDS,ST,192237.83,106970,128806,141684,166383,166383
Government Dental College & Hospital,BDS,EWS,37151.86,,,32476,36001,36001
Government Dental College & Hospital,BDS,GN,29884.345,,,27036,31123,31123
Government Dental College & Hospital,BDS,OBC,33326.99,,,29862,34588,34588
Government Dental College & Hospital,BDS,SC,103409.9,,,90517,93875,93875
Government Dental College & Hospital,BDS,ST,192237.83,,,,190901,190901
Government Dental College Dibrugarh,BDS,EWS,36682.935,,,,36749,36749
Government Dental College Dibrugarh,BDS,GN,33949.995,,,,35422,35422
Government Dental College Dibrugarh,BDS,OBC,35978.715,,,,36792,36792
Government Dental College Dibrugarh,BDS,SC,116814.81,,,,126168,126168
Government Dental College Dibrugarh,BDS,ST,201352.27,,,,204703,204703
Government Dental College Hyderabad,BDS,EWS,36519.5,,25967,30697,36454,36454
Government Dental College Hyderabad,BDS,GN,31974.14,19659,20435,28832,33425,33425
Government Dental College Hyderabad,BDS,OBC,36868.585,,25165,32496,37928,37928
Government Dental College Hyderabad,BDS,SC,146947.405,85757,104538,106825,153613,153613
Government Dental College Hyderabad,BDS,ST,200757.01,82524,132847,156793,201701,201701
Government Dental College and Hospital,BDS,EWS,37320,,24041,,37557,37557
Government Dental College and Hospital,BDS,GN,24517.925,16551,24127,,19482,19482
Government Dental College and Hospital,BDS,OBC,27124.015,,24802,26156,24642,24642
Government Dental College and Hospital,BDS,ST,200835.51,,,123469,135028,135028
Government DentalCollege and Hospital Paithna Bhaganbigha Rahui Nalanda,BDS,EWS,35638.32,,,,34549,34549
Government DentalCollege and Hospital Paithna Bhaganbigha Rahui Nalanda,BDS,GN,28178.66,,,,29788,29788
