College,Course,Category,Predicted_Rank_2025,Allotted_Rank_2023,Allotted_Rank_2024
"ADANI UNIVERSITY - FACULTY OF ENGINEERING SCIENCES & TECHNOLOGY (AU-FEST), AHMEDABAD",INFORMATION & COMMUNICATION TECHNOLOGY,OPEN-EWS,75315,4533.0,17813.0
"ADANI UNIVERSITY - FACULTY OF ENGINEERING SCIENCES & TECHNOLOGY (AU-FEST), AHMEDABAD",INFORMATION & COMMUNICATION TECHNOLOGY,SC,75315,14781.0,17813.0
"ADANI UNIVERSITY - FACULTY OF ENGINEERING SCIENCES & TECHNOLOGY (AU-FEST), AHMEDABAD",INFORMATION & COMMUNICATION TECHNOLOGY,SEBC,42886,9925.0,10143.0
"ADANI UNIVERSITY - FACULTY OF ENGINEERING SCIENCES & TECHNOLOGY (AU-FEST), AHMEDABAD",INFORMATION & COMMUNICATION TECHNOLOGY,ST,159095,18736.0,37628.0
"ADITYA SILVER OAK INSTITUTE OF TECHNOLOGY
(WITHIN LIMITS OF AHMEDABAD MUNICIPAL CORPORATION) AHMEDABAD",CHEMICAL ENGINEERING,OPEN,49770,30479.0,38948.0
"ADITYA SILVER OAK INSTITUTE OF TECHNOLOGY (WITHIN LIMITS OF AHMEDABAD MUNICIPAL
CORPORATION) AHMEDABAD",BIO-TECHNOLOGY,OPEN,99310,12603.0,35378.0
"ADITYA SILVER OAK INSTITUTE OF TECHNOLOGY (WITHIN LIMITS OF AHMEDABAD MUNICIPAL
CORPORATION) AHMEDABAD",BIO-TECHNOLOGY,OPEN-EWS,101994,24164.0,36334.0
"ADITYA SILVER OAK INSTITUTE OF TECHNOLOGY (WITHIN LIMITS OF AHMEDABAD MUNICIPAL
CORPORATION) AHMEDABAD",BIO-TECHNOLOGY,SC,101994,26864.0,36334.0
"ADITYA SILVER OAK INSTITUTE OF TECHNOLOGY (WITHIN LIMITS OF AHMEDABAD MUNICIPAL
CORPORATION) AHMEDABAD",BIO-TECHNOLOGY,SEBC,99310,29300.0,35378.0
"ADITYA SILVER OAK INSTITUTE OF TECHNOLOGY (WITHIN LIMITS OF AHMEDABAD MUNICIPAL
CORPORATION) AHMEDABAD",BIO-TECHNOLOGY,ST,91430,23008.0,32571.0
"ADITYA SILVER OAK INSTITUTE OF TECHNOLOGY (WITHIN LIMITS OF AHMEDABAD MUNICIPAL
CORPORATION) AHMEDABAD",CIVIL ENGINEERING,OPEN,49775,30164.0,38748.0
"ADITYA SILVER OAK INSTITUTE OF TECHNOLOGY (WITHIN LIMITS OF AHMEDABAD MUNICIPAL
CORPORATION) AHMEDABAD",COMPUTER ENGINEERING,OPEN,49562,30522.0,38894.0
"ADITYA SILVER OAK INSTITUTE OF TECHNOLOGY (WITHIN LIMITS OF AHMEDABAD MUNICIPAL
CORPORATION) AHMEDABAD",COMPUTER SCIENCE & ENGG,OPEN,55317,18781.0,32232.0
"ADITYA SILVER OAK INSTITUTE OF TECHNOLOGY (WITHIN LIMITS OF AHMEDABAD MUNICIPAL
CORPORATION) AHMEDABAD",COMPUTER SCIENCE & ENGG,SC,55317,29337.0,32232.0
"ADITYA SILVER OAK INSTITUTE OF TECHNOLOGY (WITHIN LIMITS OF AHMEDABAD MUNICIPAL
CORPORATION) AHMEDABAD",ELECTRICAL ENGINEERING,OPEN,49360,27536.0,36867.0
"ADITYA SILVER OAK INSTITUTE OF TECHNOLOGY (WITHIN LIMITS OF AHMEDABAD MUNICIPAL
CORPORATION) AHMEDABAD",INFORMATION TECHNOLOGY,OPEN,49066,30529.0,38703.0
"ADITYA SILVER OAK INSTITUTE OF TECHNOLOGY (WITHIN LIMITS OF AHMEDABAD MUNICIPAL
CORPORATION) AHMEDABAD",MECHANICAL ENGINEERING,OPEN,54340,26913.0,38242.0
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD","ARTIFICIAL INTELLIGENCE(AI) AND
MACHINE LEARNING",OPEN,56359,6316.0,18867.0
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD","ARTIFICIAL INTELLIGENCE(AI) AND
MACHINE LEARNING",OPEN-EWS,63436,8966.0,21236.0
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD","ARTIFICIAL INTELLIGENCE(AI) AND
MACHINE LEARNING",SC,63436,19236.0,21236.0
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD","ARTIFICIAL INTELLIGENCE(AI) AND
MACHINE LEARNING",SEBC,56359,24522.0,18867.0
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD",AUTOMOBILE ENGINEERING,OPEN,43908,30490.0,36589.0
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD",CIVIL ENGINEERING,OPEN,51697,28016.0,38057.0
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD",COMPUTER ENGINEERING,ESM,60432,23546.0,16186.0
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD",COMPUTER ENGINEERING,OPEN,75135,5390.0,20124.0
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD",COMPUTER ENGINEERING,OPEN-EWS,92126,7952.0,24675.0
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD",COMPUTER ENGINEERING,SC,92126,16809.0,24675.0
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD",COMPUTER ENGINEERING,SEBC,75135,16845.0,20124.0
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD",COMPUTER ENGINEERING,ST,92126,30388.0,24675.0
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD","COMPUTER SCIENCE &
ENGINEERING (DATA SCIENCE)",ESM,24016,6781.0,9462.0
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD","COMPUTER SCIENCE &
ENGINEERING (DATA SCIENCE)",OPEN,27496,4268.0,10833.0
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD","COMPUTER SCIENCE &
ENGINEERING (DATA SCIENCE)",OPEN-EWS,27496,5643.0,10833.0
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD","COMPUTER SCIENCE &
ENGINEERING (DATA SCIENCE)",SC,27496,7717.0,10833.0
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD","COMPUTER SCIENCE &
ENGINEERING (DATA SCIENCE)",SEBC,48799,10206.0,19226.0
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD","COMPUTER SCIENCE &
ENGINEERING (DATA SCIENCE)",ST,48799,30051.0,19226.0
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD",ELECTRICAL ENGINEERING,OPEN,49548,30332.0,38767.0
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD","ELECTRONICS & COMMUNICATION
ENGG.",OPEN,63119,18914.0,34552.0
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD","ELECTRONICS & COMMUNICATION
ENGG.",SEBC,63119,24704.0,34552.0
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD",INFORMATION TECHNOLOGY,ESM,59726,17080.0,22204.0
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD",INFORMATION TECHNOLOGY,OPEN,70951,9806.0,26377.0
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD",INFORMATION TECHNOLOGY,OPEN-EWS,79615,11464.0,29598.0
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD",INFORMATION TECHNOLOGY,SC,79615,21738.0,29598.0
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD",INFORMATION TECHNOLOGY,SEBC,70951,22379.0,26377.0
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD",INFORMATION TECHNOLOGY,ST,93008,29603.0,34577.0
"AHMEDABAD INSTITUTE OF TECH, AHMEDABAD",MECHANICAL ENGINEERING,OPEN,50503,30029.0,38943.0
"ANANT SCHOOL FOR CLIMATE ACTION, AHMEDABAD",CLIMATE CHANGE,OPEN,62519,16377.0,31998.0
"APOLLO INSTITUTE OF ENGINEERING & TECHNOLOGY
AHMEDABAD","ARTIFICIAL INTELLIGENCE AND
DATA SCIENCE",OPEN,81189,13323.0,32889.0
"APOLLO INSTITUTE OF ENGINEERING & TECHNOLOGY
AHMEDABAD","ARTIFICIAL INTELLIGENCE AND
DATA SCIENCE",OPEN-EWS,81189,16391.0,32889.0
"APOLLO INSTITUTE OF ENGINEERING & TECHNOLOGY
AHMEDABAD","ARTIFICIAL INTELLIGENCE AND
DATA SCIENCE",SC,81189,23248.0,32889.0
"APOLLO INSTITUTE OF ENGINEERING & TECHNOLOGY
AHMEDABAD","ARTIFICIAL INTELLIGENCE AND
DATA SCIENCE",SEBC,93685,26358.0,37951.0
"APOLLO INSTITUTE OF ENGINEERING & TECHNOLOGY
AHMEDABAD",COMPUTER ENGINEERING,OPEN,51094,28384.0,38082.0
"APOLLO INSTITUTE OF ENGINEERING & TECHNOLOGY
AHMEDABAD",COMPUTER ENGINEERING,OPEN-EWS,41577,29209.0,30989.0
"APOLLO INSTITUTE OF ENGINEERING & TECHNOLOGY
AHMEDABAD",COMPUTER ENGINEERING,SEBC,51094,30414.0,38082.0
"APOLLO INSTITUTE OF ENGINEERING & TECHNOLOGY
AHMEDABAD",INFORMATION TECHNOLOGY,OPEN,49522,30495.0,38861.0
"APOLLO INSTITUTE OF ENGINEERING & TECHNOLOGY
AHMEDABAD",MECHANICAL ENGINEERING,OPEN,58134,24766.0,37944.0
"ASHA M. TARSADIA INSTITUTE OF COMPUTER SCIENCE & TECH.
BARDOLI",COMPUTER ENGINEERING,OPEN,48795,30048.0,38291.0
"ASHA M. TARSADIA INSTITUTE OF COMPUTER SCIENCE & TECH.
BARDOLI",COMPUTER ENGINEERING,OPEN-EWS,48795,30539.0,38291.0
"ASHA M. TARSADIA INSTITUTE OF COMPUTER SCIENCE & TECH.
BARDOLI","COMPUTER ENGINEERING
(SOFTWARE ENGINEERING)",OPEN,51761,29158.0,38849.0
"ASHA M. TARSADIA INSTITUTE OF COMPUTER SCIENCE & TECH.
BARDOLI",COMPUTER SCIENCE & ENGG,OPEN,49869,30194.0,38804.0
"ASHA M. TARSADIA INSTITUTE OF COMPUTER SCIENCE & TECH.
BARDOLI","COMPUTER SCIENCE & ENGINEERING
(CLOUD COMPUTING)",OPEN,57387,26275.0,38831.0
"ASHA M. TARSADIA INSTITUTE OF COMPUTER SCIENCE & TECH.
BARDOLI",INFORMATION TECHNOLOGY,OPEN,50937,29802.0,38962.0
ASHA M. TARSADIA INSTITUTE OF COMPUTER SCIENCE & TECH. BARDOLI,"COMPUTER SCIENCE & ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE
LEARNING)",OPEN,39708,30154.0,34603.0
"ATMIYA UNIVERSITY, FACULTY OF ENGINEERING AND
TECHNOLOGY, RAJKOT",COMPUTER ENGINEERING,OPEN,48176,29967.0,37996.0
"ATMIYA UNIVERSITY, FACULTY OF ENGINEERING AND
TECHNOLOGY, RAJKOT",COMPUTER SCIENCE & ENGG,OPEN,69968,19983.0,37392.0
"ATMIYA UNIVERSITY, FACULTY OF ENGINEERING AND
TECHNOLOGY, RAJKOT",COMPUTER SCIENCE & ENGG,OPEN-EWS,69968,25244.0,37392.0
"ATMIYA UNIVERSITY, FACULTY OF ENGINEERING AND
TECHNOLOGY, RAJKOT",COMPUTER SCIENCE & ENGG,SEBC,66599,29737.0,35592.0
